match_id,family,estimand,estimate,ci_low,ci_high,valid,attempted
J03WN1,secondary,D10,0.06759690454495437,0.02770492798398614,0.10622223536421263,1998,2000
J03WN1,secondary,near,0.08833650666636063,0.05785772549945485,0.1173882160604311,1998,2000
J03WN1,secondary,middle,0.06200330352055663,0.03382079980712748,0.08965450402721292,1998,2000
J03WN1,secondary,far,0.06789347556170403,0.034545027156466325,0.10135837447606094,1998,2000
J03WN1,secondary,near_minus_middle,0.026333203145804,0.01328878274883778,0.040198953175018474,1998,2000
J03WN1,trimmed,D1,0.15807022195521508,0.11787520939886348,0.19734654260728907,1998,2000
J03WN1,trimmed,D2,0.0724795049918813,0.044994885627130034,0.10045328727434077,1998,2000
J03WN1,trimmed,D3,0.039763610337267385,0.01091865123995376,0.06752037187397407,1998,2000
J03WN1,trimmed,D4,0.040833483044621255,0.014562058552917029,0.06668173478384085,1998,2000
J03WN1,trimmed,D5,0.061401435443044494,0.03526602275742759,0.08753150692798382,1998,2000
J03WN1,trimmed,D6,0.028783879357506453,-0.0011378360057832438,0.05775813547898884,1998,2000
J03WN1,trimmed,D7,0.029095845319758507,-0.0023516918381016622,0.059560416278197394,1998,2000
J03WN1,trimmed,D8,0.08129300396888259,0.04221086090575012,0.12269431940601856,1998,2000
J03WN1,trimmed,D9,0.04889718243959662,0.014539348680205469,0.08410156648464687,1998,2000
J03WN1,trimmed,D10,0.07952315454010123,0.042293571643297195,0.11789515200669386,1998,2000
J03WN1,trimmed,near,0.0901044457614546,0.06860698941655043,0.11131808638904135,1998,2000
J03WN1,trimmed,middle,0.04002866079123268,0.018984773956827954,0.0601935121528662,1998,2000
J03WN1,trimmed,far,0.06990444698286015,0.04147239860287581,0.10025004908253304,1998,2000
J03WN1,trimmed,near_minus_middle,0.05007578497022192,0.02716384737691703,0.0728127743201869,1998,2000
J03WOH,primary,D1,0.14264801589413795,0.1185989011970765,0.16858028142668505,2000,2000
J03WOH,primary,D2,0.07761028129736779,0.05710935574600766,0.09882174340893468,2000,2000
J03WOH,primary,D3,0.04569257807966623,0.024545020159112405,0.06791711827653692,2000,2000
J03WOH,primary,D4,0.042603418467528575,0.024250975652802157,0.062330560122347035,2000,2000
J03WOH,primary,D5,0.038746508303114935,0.017425337988743836,0.06042412883504645,2000,2000
J03WOH,primary,D6,0.046391219755873625,0.02296586342515713,0.06864995278742361,2000,2000
J03WOH,primary,D7,0.02967259362342267,0.008190199812118435,0.05264489941420119,2000,2000
J03WOH,primary,D8,0.04182976112966508,0.018820573645833064,0.06414032410533041,2000,2000
J03WOH,primary,D9,0.06900717662514215,0.050351820714340065,0.08711925536057123,2000,2000
J03WOH,primary,D10,0.06368826639839908,0.04214771588821116,0.0853210672779622,2000,2000
J03WOH,primary,near,0.08865029175705734,0.07054988202472316,0.10743141933204331,2000,2000
J03WOH,primary,middle,0.03935343503748495,0.022330043730225718,0.05656870776524791,2000,2000
J03WOH,primary,far,0.05817506805106878,0.04173095649868325,0.07432346872212137,2000,2000
J03WOH,primary,near_minus_middle,0.04929685671957239,0.03698836585481754,0.06267331057052494,2000,2000
J03WOH,secondary,D1,0.11239157144952017,0.09090997683987165,0.13505132359159633,2000,2000
J03WOH,secondary,D2,0.08155133885574242,0.061002453350625915,0.10349258718888205,2000,2000
J03WOH,secondary,D3,0.0639954522066557,0.042706576308220084,0.086710645606974,2000,2000
J03WOH,secondary,D4,0.06428994730600807,0.04548166102789087,0.08519357629399969,2000,2000
J03WOH,secondary,D5,0.06290604365324773,0.043455802238327505,0.0829780964912528,2000,2000
J03WOH,secondary,D6,0.061932418964546376,0.041433298845023905,0.08359374794079852,2000,2000
J03WOH,secondary,D7,0.056534482408494346,0.03473159859816374,0.08104822154773746,2000,2000
