match_id,period,time_period_s,attacker_id,reason
J03WMX,2,2398.0,,possession_or_open_play
J03WMX,2,2414.0,,possession_or_open_play
J03WMX,2,2454.0,,possession_or_open_play
J03WMX,2,2518.0,,possession_or_open_play
J03WMX,2,2542.0,,possession_or_open_play
J03WMX,2,2670.0,,possession_or_open_play
J03WMX,2,2674.0,,possession_or_open_play
J03WMX,2,2678.0,,possession_or_open_play
J03WMX,2,2726.0,,possession_or_open_play
J03WMX,2,2794.0,,possession_or_open_play
J03WMX,2,2798.0,,possession_or_open_play
J03WMX,2,2802.0,,possession_or_open_play
J03WMX,2,2806.0,,possession_or_open_play
J03WMX,2,2810.0,,possession_or_open_play
J03WMX,2,2814.0,,possession_or_open_play
J03WMX,2,2834.0,,possession_or_open_play
J03WMX,2,2870.0,,possession_or_open_play
J03WMX,2,2910.0,,possession_or_open_play
J03WMX,2,2914.0,,possession_or_open_play
J03WMX,2,2946.0,,possession_or_open_play
J03WMX,2,2950.0,,possession_or_open_play
J03WMX,2,2974.0,,possession_or_open_play
J03WMX,2,2978.0,,possession_or_open_play
J03WMX,2,2982.0,,possession_or_open_play
J03WMX,2,2986.0,,possession_or_open_play
J03WMX,2,2990.0,,possession_or_open_play
J03WMX,2,3002.0,,possession_or_open_play
J03WMX,2,3006.0,,possession_or_open_play
J03WN1,1,2.0,,complete_cadence_support_unavailable
J03WN1,1,6.0,,possession_or_open_play
J03WN1,1,34.0,,possession_or_open_play
J03WN1,1,38.0,,possession_or_open_play
J03WN1,1,106.0,,possession_or_open_play
J03WN1,1,110.0,,possession_or_open_play
J03WN1,1,114.0,,possession_or_open_play
J03WN1,1,118.0,,possession_or_open_play
J03WN1,1,154.0,,possession_or_open_play
J03WN1,1,158.0,,possession_or_open_play
J03WN1,1,182.0,,possession_or_open_play
J03WN1,1,250.0,,possession_or_open_play
J03WN1,1,254.0,,possession_or_open_play
J03WN1,1,258.0,,possession_or_open_play
J03WN1,1,262.0,,possession_or_open_play
J03WN1,1,266.0,,possession_or_open_play
J03WN1,1,298.0,,possession_or_open_play
J03WN1,1,474.0,,possession_or_open_play
J03WN1,1,478.0,,possession_or_open_play
J03WN1,1,498.0,,possession_or_open_play
J03WN1,1,502.0,,possession_or_open_play
J03WN1,1,506.0,DFL-OBJ-000172,complete_ten_defenders_unavailable
J03WN1,1,506.0,DFL-OBJ-0000YV,complete_ten_defenders_unavailable
J03WN1,1,506.0,DFL-OBJ-0000XU,complete_ten_defenders_unavailable
J03WN1,1,506.0,DFL-OBJ-000199,complete_ten_defenders_unavailable
J03WN1,1,506.0,DFL-OBJ-J014F7,complete_ten_defenders_unavailable
