analysis,outer_heldout_match,model,alpha,n,MAE,median_absolute_error,RMSE,R2
locality_control,J03WOH,NONLOCAL_B7,0.1,6115,2.093491127337518,1.5925353239306181,2.8777912740280467,0.35080342129325826
locality_control,J03WOY,B4,100.0,6342,2.1210510961259446,1.5667217552624146,3.0573113028469847,0.30106741960438954
locality_control,J03WOY,LOCAL_B5,100.0,6342,2.10956160835826,1.5528325910846932,3.0436367670290223,0.307305714245539
locality_control,J03WOY,LOCAL_B6,100.0,6342,2.1142966675133454,1.5626664627400964,3.043017087330917,0.3075877484838909
locality_control,J03WOY,LOCAL_B7,10.0,6342,2.1078480796076104,1.553619400467987,3.031095260592388,0.3130025381063466
locality_control,J03WOY,NONLOCAL_B5,100.0,6342,2.1172801917266395,1.5659973220637236,3.0448716919005734,0.30674349279307433
locality_control,J03WOY,NONLOCAL_B6,100.0,6342,2.1194188989886817,1.5747663492846486,3.045433302238334,0.3064877342807877
locality_control,J03WOY,NONLOCAL_B7,100.0,6342,2.119680349603254,1.55689180540447,3.0435097813822227,0.30736351378186844
locality_control,J03WPY,B4,0.1,7065,2.074374237391311,1.5780285001006558,2.9037598616342803,0.3749107890419987
locality_control,J03WPY,LOCAL_B5,0.1,7065,2.078493797571537,1.5829258574733265,2.9027906659067093,0.3753279948138867
locality_control,J03WPY,LOCAL_B6,0.1,7065,2.077428916967092,1.5769418154582637,2.902608871115085,0.3754062357716583
locality_control,J03WPY,LOCAL_B7,0.1,7065,2.075019395707933,1.57672436833563,2.8982208392225886,0.37729327313558725
locality_control,J03WPY,NONLOCAL_B5,0.1,7065,2.078036553803789,1.5732083362411085,2.8994613388554416,0.3767600958346885
locality_control,J03WPY,NONLOCAL_B6,0.1,7065,2.077038466482934,1.5689760485219306,2.8989138249928548,0.37699545008115176
locality_control,J03WPY,NONLOCAL_B7,0.1,7065,2.074027371830382,1.5655689892761275,2.8944000554561193,0.3789340449006716
locality_control,J03WQQ,B4,100.0,6287,2.233377345181871,1.6993536663567061,3.0930783570270113,0.3258441190770516
locality_control,J03WQQ,LOCAL_B5,100.0,6287,2.223588989691884,1.6924410826763756,3.080386155527385,0.3313654578808106
locality_control,J03WQQ,LOCAL_B6,100.0,6287,2.2218881547360865,1.683263353944814,3.0782533570620347,0.3322910360158361
locality_control,J03WQQ,LOCAL_B7,100.0,6287,2.2238215038932854,1.6906745773800012,3.079355806115389,0.3318126823221016
locality_control,J03WQQ,NONLOCAL_B5,100.0,6287,2.2178880440485367,1.6847374837799967,3.0774155604610205,0.3326544422141794
locality_control,J03WQQ,NONLOCAL_B6,100.0,6287,2.2175730163618548,1.6827206606459066,3.0777587168845875,0.33250560519280425
locality_control,J03WQQ,NONLOCAL_B7,100.0,6287,2.218658268624495,1.6820628234869366,3.083423764240297,0.33004610931169165
locality_control,J03WR9,B4,100.0,6556,2.1318899719451965,1.6351940759949515,2.9197113534072514,0.31506948678944546
locality_control,J03WR9,LOCAL_B5,10.0,6556,2.128172577368227,1.633587099916049,2.907878655171469,0.3206098655534564
locality_control,J03WR9,LOCAL_B6,100.0,6556,2.127599438804468,1.625218780472144,2.9044413577189996,0.32221508092775286
locality_control,J03WR9,LOCAL_B7,100.0,6556,2.1267610523618155,1.6330383167379194,2.9043488590254567,0.3222582515161546
locality_control,J03WR9,NONLOCAL_B5,100.0,6556,2.134841989620922,1.647672125862515,2.9069985636979494,0.32102104844798585
locality_control,J03WR9,NONLOCAL_B6,100.0,6556,2.1347401786617506,1.6420371526596569,2.9054382067491145,0.32174974862966865
locality_control,J03WR9,NONLOCAL_B7,100.0,6556,2.133408939093592,1.6363041917569696,2.903214689549809,0.3227874743846153
