analysis,outer_heldout_match,model,inner_heldout_match,alpha,MAE,constant_features_removed,solver
primary_K3_2s,J03WN1,B4,J03WPY,1.0,2.081892181457917,0,solve
primary_K3_2s,J03WN1,B4,J03WPY,10.0,2.0820549396160946,0,solve
primary_K3_2s,J03WN1,B4,J03WPY,100.0,2.0836193960029745,0,solve
primary_K3_2s,J03WN1,B4,J03WQQ,0.01,2.237340950333709,0,solve
primary_K3_2s,J03WN1,B4,J03WQQ,0.1,2.237341260291749,0,solve
primary_K3_2s,J03WN1,B4,J03WQQ,1.0,2.237344354634455,0,solve
primary_K3_2s,J03WN1,B4,J03WQQ,10.0,2.2373748160046363,0,solve
primary_K3_2s,J03WN1,B4,J03WQQ,100.0,2.237719081841092,0,solve
primary_K3_2s,J03WN1,B4,J03WR9,0.01,2.1358526221801823,0,solve
primary_K3_2s,J03WN1,B4,J03WR9,0.1,2.135853041148304,0,solve
primary_K3_2s,J03WN1,B4,J03WR9,1.0,2.1358572208589104,0,solve
primary_K3_2s,J03WN1,B4,J03WR9,10.0,2.135899355669901,0,solve
primary_K3_2s,J03WN1,B4,J03WR9,100.0,2.136364436823469,0,solve
primary_K3_2s,J03WN1,B5,J03WMX,0.01,2.117724798177824,0,solve
primary_K3_2s,J03WN1,B5,J03WMX,0.1,2.1177248021720727,0,solve
primary_K3_2s,J03WN1,B5,J03WMX,1.0,2.117724925758189,0,solve
primary_K3_2s,J03WN1,B5,J03WMX,10.0,2.1177263069541046,0,solve
primary_K3_2s,J03WN1,B5,J03WMX,100.0,2.1178291133372564,0,solve
primary_K3_2s,J03WN1,B5,J03WOH,0.01,2.100036114124612,0,solve
primary_K3_2s,J03WN1,B5,J03WOH,0.1,2.100034048872876,0,solve
primary_K3_2s,J03WN1,B5,J03WOH,1.0,2.1000136462867003,0,solve
primary_K3_2s,J03WN1,B5,J03WOH,10.0,2.0998374842868897,0,solve
primary_K3_2s,J03WN1,B5,J03WOH,100.0,2.0992791994152564,0,solve
primary_K3_2s,J03WN1,B5,J03WOY,0.01,2.1138542577471697,0,solve
primary_K3_2s,J03WN1,B5,J03WOY,0.1,2.113855186021893,0,solve
primary_K3_2s,J03WN1,B5,J03WOY,1.0,2.1138645206689857,0,solve
primary_K3_2s,J03WN1,B5,J03WOY,10.0,2.1139584407539247,0,solve
primary_K3_2s,J03WN1,B5,J03WOY,100.0,2.114843988062541,0,solve
primary_K3_2s,J03WN1,B5,J03WPY,0.01,2.085525554307563,0,solve
primary_K3_2s,J03WN1,B5,J03WPY,0.1,2.08552757590221,0,solve
primary_K3_2s,J03WN1,B5,J03WPY,1.0,2.0855477659519064,0,solve
primary_K3_2s,J03WN1,B5,J03WPY,10.0,2.0857495731775684,0,solve
primary_K3_2s,J03WN1,B5,J03WPY,100.0,2.0876350411511795,0,solve
primary_K3_2s,J03WN1,B5,J03WQQ,0.01,2.2267180905934576,0,solve
primary_K3_2s,J03WN1,B5,J03WQQ,0.1,2.2267180908473447,0,solve
primary_K3_2s,J03WN1,B5,J03WQQ,1.0,2.2267181443443995,0,solve
primary_K3_2s,J03WN1,B5,J03WQQ,10.0,2.2267245940371776,0,solve
primary_K3_2s,J03WN1,B5,J03WQQ,100.0,2.2269952951179026,0,solve
primary_K3_2s,J03WN1,B5,J03WR9,0.01,2.1313568893539587,0,solve
primary_K3_2s,J03WN1,B5,J03WR9,0.1,2.131357679154093,0,solve
primary_K3_2s,J03WN1,B5,J03WR9,1.0,2.13136553827421,0,solve
primary_K3_2s,J03WN1,B5,J03WR9,10.0,2.13144163489536,0,solve
primary_K3_2s,J03WN1,B5,J03WR9,100.0,2.132085216623545,0,solve
primary_K3_2s,J03WN1,B6,J03WMX,0.01,2.114943316753282,0,solve
primary_K3_2s,J03WN1,B6,J03WMX,0.1,2.1149433036778285,0,solve
primary_K3_2s,J03WN1,B6,J03WMX,1.0,2.1149432000548645,0,solve
primary_K3_2s,J03WN1,B6,J03WMX,10.0,2.114942587685547,0,solve
primary_K3_2s,J03WN1,B6,J03WMX,100.0,2.114983595045865,0,solve
primary_K3_2s,J03WN1,B6,J03WOH,0.01,2.103925232757944,0,solve
primary_K3_2s,J03WN1,B6,J03WOH,0.1,2.103923307490347,0,solve
primary_K3_2s,J03WN1,B6,J03WOH,1.0,2.103904292701742,0,solve
primary_K3_2s,J03WN1,B6,J03WOH,10.0,2.1037358543830584,0,solve
primary_K3_2s,J03WN1,B6,J03WOH,100.0,2.103209769116088,0,solve
primary_K3_2s,J03WN1,B6,J03WOY,0.01,2.1187076221269265,0,solve
primary_K3_2s,J03WN1,B6,J03WOY,0.1,2.118708784013611,0,solve
primary_K3_2s,J03WN1,B6,J03WOY,1.0,2.118720366936126,0,solve
primary_K3_2s,J03WN1,B6,J03WOY,10.0,2.1188350999085412,0,solve
primary_K3_2s,J03WN1,B6,J03WOY,100.0,2.119890552111059,0,solve
primary_K3_2s,J03WN1,B6,J03WPY,0.01,2.0848909653999628,0,solve
primary_K3_2s,J03WN1,B6,J03WPY,0.1,2.084892630783779,0,solve
primary_K3_2s,J03WN1,B6,J03WPY,1.0,2.0849093163038885,0,solve
primary_K3_2s,J03WN1,B6,J03WPY,10.0,2.0850767662394665,0,solve
primary_K3_2s,J03WN1,B6,J03WPY,100.0,2.0867526735835513,0,solve
primary_K3_2s,J03WN1,B6,J03WQQ,0.01,2.22469859727254,0,solve
primary_K3_2s,J03WN1,B6,J03WQQ,0.1,2.224698638475893,0,solve
primary_K3_2s,J03WN1,B6,J03WQQ,1.0,2.2246990626407808,0,solve
primary_K3_2s,J03WN1,B6,J03WQQ,10.0,2.2247074535499407,0,solve
primary_K3_2s,J03WN1,B6,J03WQQ,100.0,2.2248867826793566,0,solve
primary_K3_2s,J03WN1,B6,J03WR9,0.01,2.130372347185212,0,solve
primary_K3_2s,J03WN1,B6,J03WR9,0.1,2.1303729946660974,0,solve
primary_K3_2s,J03WN1,B6,J03WR9,1.0,2.1303794350265304,0,solve
primary_K3_2s,J03WN1,B6,J03WR9,10.0,2.1304427551838803,0,solve
primary_K3_2s,J03WN1,B6,J03WR9,100.0,2.130986257491571,0,solve
primary_K3_2s,J03WN1,B7,J03WMX,0.01,2.110316703418791,0,solve
primary_K3_2s,J03WN1,B7,J03WMX,0.1,2.1103167071200426,0,solve
primary_K3_2s,J03WN1,B7,J03WMX,1.0,2.110316848056877,0,solve
primary_K3_2s,J03WN1,B7,J03WMX,10.0,2.1103222862557893,0,solve
primary_K3_2s,J03WN1,B7,J03WMX,100.0,2.110464678033327,0,solve
primary_K3_2s,J03WN1,B7,J03WOH,0.01,2.0995384606385037,0,solve
