match_id,sample,band,observation_count,unique_time_anchor_count,temporal_block_count,mean_focal_detected_fraction,mean_ball_detected_fraction,mean_min_D1_D7_detected_fraction
1925299,primary,over_34,14,14,10,0.40199335548172754,0.97176079734219278,0.18944099378881987
1925299,quality,0_10,631,272,70,0.95732134301404193,0.99156009287583402,0.90387928064493894
1925299,quality,10_20,394,231,70,0.94717270688230437,0.99150041317435944,0.87938644890752604
1925299,quality,20_30,201,143,59,0.94064560916348483,0.98114080758995725,0.87540558079169373
1925299,quality,30_34,76,68,40,0.94247246022031839,0.98990208078335373,0.91647597254004565
1925299,quality,over_34,3,3,3,1,1,0.82608695652173914
1996435,primary,0_10,2652,660,91,0.7537707390648567,0.93242484829352146,0.48165453472358843
1996435,primary,10_20,1768,645,90,0.77379511733136908,0.94295222561296432,0.4772526067283101
1996435,primary,20_30,1163,564,91,0.8174328620848248,0.94189045971725083,0.45848442932446076
1996435,primary,30_34,355,271,76,0.8180150671470684,0.95492957746478868,0.54892835272504592
1996435,primary,over_34,29,29,17,0.68885324779470736,0.93825180433039301,0.6071964017991005
1996435,quality,0_10,1138,415,88,0.97202354191359785,0.97760248497976854,0.93718957744326425
1996435,quality,10_20,746,359,85,0.97820936467360797,0.98126441798117092,0.9476046159226017
1996435,quality,20_30,488,286,78,0.97936523065192527,0.98422607701105602,0.93718816821097639
1996435,quality,30_34,174,143,54,0.9762095696337878,0.98757016840416989,0.95402298850574707
1996435,quality,over_34,13,13,8,0.94991055456171736,1,0.92976588628762546
2006229,primary,0_10,2162,641,80,0.75115633672525439,0.96617042789837149,0.46152917990588427
2006229,primary,10_20,1846,630,80,0.77211569956411097,0.96874448839728888,0.4398935418531254
2006229,primary,20_30,1361,589,78,0.75688190967653746,0.97158382174529667,0.43245056384372105
2006229,primary,30_34,398,313,74,0.78117330840247756,0.97201121888512332,0.4939916976185274
2006229,primary,over_34,28,28,19,0.30066445182724255,0.91112956810631218,0.42080745341614911
2006229,quality,0_10,872,384,78,0.96199594623426488,0.98306486025176021,0.90915436777024339
2006229,quality,10_20,711,357,74,0.96967912864292027,0.98668760017008472,0.91707943496606115
2006229,quality,20_30,521,288,73,0.96263893228585451,0.98281480158907286,0.91754986230493207
2006229,quality,30_34,170,145,57,0.9626538987688098,0.98522571819425442,0.90997442455242961
2006229,quality,over_34,4,4,3,0.88953488372093026,0.91279069767441867,1
2011166,primary,0_10,1893,500,83,0.58067052420791421,0.96571210948537445,0.19966007487539908
2011166,primary,10_20,1431,494,83,0.59246258105406857,0.96475062161766845,0.18384832740862272
2011166,primary,20_30,951,423,78,0.63145281588535918,0.96708483114469468,0.17656471448818178
2011166,primary,30_34,238,187,63,0.72718389681453965,0.98045729919874924,0.14230909755206431
2011166,primary,over_34,9,9,7,0.22739018087855298,0.99741602067183466,0.08212560386473429
2011166,quality,0_10,278,132,59,0.94127488706709039,0.99472979755730295,0.87128558023146685
2011166,quality,10_20,192,120,55,0.94246608527131792,0.99224806201550386,0.84782608695652184
