grid_x_m,grid_y_m,bandwidth_m,support_profile,support_valid,equal_match_local_mean_m
-19,-31.5,5,conservative,True,0.297940055222
-18,-31.5,5,conservative,True,0.301767751379
-17,-31.5,5,conservative,True,0.301703681834
-16,-31.5,5,conservative,True,0.298318214696
-15,-31.5,5,conservative,True,0.294600329245
-14,-31.5,5,conservative,True,0.289379163041
-13,-31.5,5,conservative,True,0.284121183588
-12,-31.5,5,conservative,True,0.269199028192
-11,-31.5,5,conservative,True,0.254382902082
-10,-31.5,5,conservative,True,0.238463394206
-9,-31.5,5,conservative,True,0.223421915005
-8,-31.5,5,conservative,True,0.207572840552
-7,-31.5,5,conservative,True,0.198912203848
-6,-31.5,5,conservative,True,0.191252771487
-5,-31.5,5,conservative,True,0.188352393276
-4,-31.5,5,conservative,True,0.179810054402
-3,-31.5,5,conservative,True,0.172531536809
-2,-31.5,5,conservative,True,0.163711002962
-1,-31.5,5,conservative,True,0.159694512826
0,-31.5,5,conservative,True,0.151186027484
1,-31.5,5,conservative,True,0.146654743606
2,-31.5,5,conservative,True,0.138106229874
3,-31.5,5,conservative,True,0.132341688041
4,-31.5,5,conservative,True,0.131491359104
5,-31.5,5,conservative,True,0.129699641775
6,-31.5,5,conservative,True,0.125043537497
7,-31.5,5,conservative,True,0.125730355179
8,-31.5,5,conservative,True,0.13392090523
9,-31.5,5,conservative,True,0.138982318545
10,-31.5,5,conservative,True,0.15048975474
11,-31.5,5,conservative,True,0.165179376177
12,-31.5,5,conservative,True,0.181627193485
13,-31.5,5,conservative,True,0.200563214292
14,-31.5,5,conservative,True,0.220616942237
15,-31.5,5,conservative,True,0.24120142349
16,-31.5,5,conservative,True,0.26305161105
17,-31.5,5,conservative,True,0.289262630116
18,-31.5,5,conservative,True,0.307327564172
19,-31.5,5,conservative,True,0.32615409139
20,-31.5,5,conservative,True,0.333308011257
21,-31.5,5,conservative,True,0.346500403442
22,-31.5,5,conservative,True,0.356953780042
23,-31.5,5,conservative,True,0.370897211007
24,-31.5,5,conservative,True,0.377529405803
