replicate,absolute_improvement_mps,relative_improvement_percent
1953,-0.000643572227951,-0.0881948752069
1954,-0.000461270632238,-0.0623950009537
1955,-0.000371587038247,-0.050894043094
1956,-0.000490712967414,-0.0680319623752
1957,-0.000978623756941,-0.134543877382
1958,-0.000620902516272,-0.084974367652
1959,-6.61965751314e-06,-0.000916307586733
1960,-0.000332313369509,-0.0469446640393
1961,-0.00029676255676,-0.0408076670979
1962,-0.000578633036634,-0.0795118836213
1963,-0.00055418309399,-0.0769561228139
1964,-0.000627019036507,-0.0871052796778
1965,-0.000396455387374,-0.0533232935697
1966,-0.000600452140488,-0.0835311637248
1967,-0.000499895625082,-0.0692868502419
1968,-0.000555778481751,-0.0768465203039
1969,-0.000439579103983,-0.061752550158
1970,-0.000342312735741,-0.0480787134199
1971,-0.000701214168261,-0.094343858776
1972,-0.000246893295284,-0.0339958275893
1973,-0.000373017202754,-0.0513264068458
1974,-0.000334913802252,-0.0454106491544
1975,-0.0003521601675,-0.0490086815012
1976,-0.00042639847157,-0.0588343026898
1977,-0.000231736363452,-0.0318803683416
1978,-0.000537656117933,-0.0758053989519
1979,-0.000243756630672,-0.033181964131
1980,-0.000300277526133,-0.041356503807
1981,-0.000219464866941,-0.0307385956263
1982,-0.000428350202972,-0.0590893792631
1983,-0.000352317055022,-0.0474442760445
1984,-0.000498883476804,-0.0693303760752
1985,-0.00057410689298,-0.0803874437869
1986,-0.000734083214167,-0.100128352549
1987,-0.000663974797643,-0.0942972126491
1988,-0.000239118321221,-0.0332037809345
1989,-0.000545682462639,-0.0765790323783
1990,-0.000483347411438,-0.0653194478812
1991,-0.000337042241254,-0.0457809632554
1992,-0.000480810249013,-0.0663827509258
1993,-0.000168432246908,-0.0229180343855
1994,-0.000477482132572,-0.0651716680392
1995,-0.000503565545792,-0.0692581350885
1996,-0.00066118820926,-0.0901868003366
1997,-0.000570223965921,-0.0780998415168
1998,-0.000558384813091,-0.0765663964016
1999,-0.000931775135006,-0.127649906221
