replicate,draw_attempt,relative_improvement_percent,absolute_improvement_mps
111,136,-0.180019497406,-0.00130578992029
112,137,-0.212841571887,-0.0015438682098
113,138,-0.0547679348321,-0.000397264842361
114,139,-0.0382006574416,-0.000277092393626
115,140,-0.190391128888,-0.00138102161486
116,141,-0.0311633418531,-0.000226046501966
117,142,-0.0252321538107,-0.000183024020109
118,143,-0.199337926482,-0.00144591813044
119,145,-0.019591402262,-0.000142108249199
120,147,-0.0277409953883,-0.00020122216026
121,149,-0.0588039914797,-0.000426540793933
122,150,-0.0112433330849,-8.1554671712e-05
123,151,-0.0463215037929,-0.000335997787001
124,152,-0.0351107673503,-0.000254679558383
125,153,-0.0670965075322,-0.000486691411123
126,154,-0.0497901094963,-0.000361157674848
127,155,-0.058330994839,-0.000423109864202
128,156,-0.027205364514,-0.00019733690668
129,158,-0.0186113252733,-0.000134999160065
130,159,-0.162201444742,-0.0011765448446
131,160,-0.0410998788856,-0.000298122194247
132,161,-0.0604008618221,-0.00043812385703
133,162,-0.034974089338,-0.000253688150378
134,163,-0.027265607858,-0.000197773887965
135,164,-0.120938216881,-0.000877237781779
136,165,-0.0734366999449,-0.000532680648203
137,166,-0.118453172289,-0.000859212255507
138,167,-0.0241956603521,-0.000175505708314
139,168,-0.066471581772,-0.000482158447914
140,169,-0.210768804387,-0.00152883317777
141,170,-0.134077384521,-0.000972544084222
142,171,-0.0358417190065,-0.000259981591322
143,173,-0.201554641833,-0.00146199730299
144,174,-0.0431155084675,-0.000312742770513
145,175,-0.0352362664736,-0.000255589879168
146,177,-0.0211000332085,-0.000153051258772
147,178,-0.0535049138621,-0.000388103389987
148,179,-0.0417624232244,-0.000302928027681
149,180,-0.155259162406,-0.0011261882864
150,181,-0.0492012653699,-0.000356886433476
151,182,-0.0329713067748,-0.000239160761282
152,183,-0.160149886399,-0.00116166365537
153,185,-0.121874086768,-0.000884026210159
154,186,-0.152548629831,-0.00110652715988
155,187,-0.167947150714,-0.0012182219132
156,189,-0.0517005876208,-0.000375015524213
157,190,-0.0452612505662,-0.000328307131287
158,191,-0.0179943445366,-0.0001305238269
159,192,-0.0758872057289,-0.000550455643681
160,193,-0.160074037509,-0.00116111347766
161,194,-0.0294286208119,-0.000213463524662
162,195,-0.0230153427397,-0.000166944153242
163,197,-0.0366207744042,-0.000265632549692
164,198,-0.0411001052273,-0.00029812383604
165,199,-0.0854607721797,-0.000619898491555
166,200,-0.0373151906405,-0.000270669569209
167,201,-0.0407942222265,-0.000295905082266
168,202,-0.150448586209,-0.0010912942777
169,203,-0.0341378019332,-0.000247622053764
170,205,-0.0265047558057,-0.000192254969431
171,206,-0.0153501396037,-0.000111343814744
172,207,-0.042602543352,-0.000309021925344
173,208,-0.237100465278,-0.00171983258546
174,210,-0.0210517970001,-0.000152701372478
175,211,-0.144910727916,-0.00105112485359
176,213,-0.115967373493,-0.000841181258538
177,214,-0.0197221870802,-0.000143056910315
178,215,-0.0775512182079,-0.000562525729164
179,216,-0.0236344013425,-0.000171434558422
180,217,-0.0715002096592,-0.000518634116953
181,218,-0.135633297681,-0.000983830060183
182,219,-0.0350540351993,-0.000254268045896
183,221,-0.142789206632,-0.00103573618099
