interval_id,game,period,start_s,seconds,possession_team,defending_team,focal_player,focal_absolute_path_m,full_defending_outfield_centroid_path_m,sum_defending_outfield_paths_m,ball_path_m,focal_bin,collective_bin,team_activity_bin,ball_bin,smoothing_frames,focal_relative_path_m,focal_relative_net_x_change_m,focal_relative_net_y_change_m,focal_relative_net_displacement_m,leave_one_out_centroid_path_m,misaligned_relative_path_m,misaligned_interval_id
G1_P2_3765.00_5s,1,2,3765.0,5.0,Away,Home,8,15.04811249606217,4.5226443986000096,89.3372186892897,23.557255078258027,2,0,0,0,7,13.807493063305492,-0.129099999999994,3.22947111111111,3.232050505097534,4.309076066886643,17.879259169217775,G1_P2_3785.00_5s
G1_P2_3765.00_5s,1,2,3765.0,5.0,Away,Home,9,12.50998297985713,4.5226443986000096,89.3372186892897,23.557255078258027,1,0,0,0,7,9.986976716439335,9.896400000000014,1.037712380952378,9.950657261989388,4.201517715694934,12.381747819799772,G1_P2_3785.00_5s
G1_P2_3765.00_5s,1,2,3765.0,5.0,Away,Home,10,6.666120601317679,4.5226443986000096,89.3372186892897,23.557255078258027,0,0,0,0,7,3.376566759063992,1.119733333333329,1.3254711111111135,1.7351300827799332,4.330674749841023,7.885293482415712,G1_P2_3785.00_5s
G1_P2_3765.00_5s,1,2,3765.0,5.0,Away,Home,12,6.0961987218185385,4.5226443986000096,89.3372186892897,23.557255078258027,0,0,0,0,7,3.293117383068842,1.741733333333329,0.26154095238094754,1.7612605355871578,4.40722823486416,9.648290320693043,G1_P2_3785.00_5s
G1_P2_3770.00_5s,1,2,3770.0,5.0,Away,Home,2,8.716930752781554,4.0729538340010745,74.57298485366267,18.335794803005133,1,0,0,0,7,7.256625266217623,0.8897166666666436,6.110253333333333,6.174689590939411,3.9834568727875164,12.05692631478873,G1_P2_3785.00_5s
G1_P2_3770.00_5s,1,2,3770.0,5.0,Away,Home,3,8.540126720117138,4.0729538340010745,74.57298485366267,18.335794803005133,1,0,0,0,7,6.150652619621043,1.5655499999999734,2.803078730158724,3.2106381250412137,3.749744611863606,9.405668862986122,G1_P2_3785.00_5s
G1_P2_3770.00_5s,1,2,3770.0,5.0,Away,Home,4,4.557992758585852,4.0729538340010745,74.57298485366267,18.335794803005133,0,0,0,0,7,5.608261655483066,0.10521666666664942,-4.297416507936518,4.2987043617385154,4.384750043636789,5.974577880299017,G1_P2_3785.00_5s
G1_P2_3770.00_5s,1,2,3770.0,5.0,Away,Home,5,5.093255298750724,4.0729538340010745,74.57298485366267,18.335794803005133,0,0,0,0,7,5.958974539931782,1.6848833333333317,-2.3412831746031912,2.884517074074001,4.151831443473724,5.017705436171009,G1_P2_3785.00_5s
G1_P2_3770.00_5s,1,2,3770.0,5.0,Away,Home,6,6.635955580648852,4.0729538340010745,74.57298485366267,18.335794803005133,0,0,0,0,7,6.749401814163772,0.4510500000000235,-0.8126863492063592,0.929465009931187,4.234923007792293,9.497693838451234,G1_P2_3785.00_5s
G1_P2_3770.00_5s,1,2,3770.0,5.0,Away,Home,7,11.986889596886156,4.0729538340010745,74.57298485366267,18.335794803005133,1,0,0,0,7,9.37270111836811,2.4932166666666404,6.8715295238095315,7.309859598072343,3.2774547636750695,14.622377479583967,G1_P2_3785.00_5s
