kind,case,label,period,start_s,end_s,tau_s,team,focal,relative_path_m,relative_displacement_x_m,relative_displacement_y_m,relative_displacement_m,relative_displacement_angle_deg,focal_absolute_path_m,centroid_path_m,path_to_displacement_ratio,innovation_x_0.4s_m,innovation_y_0.4s_m,innovation_mag_0.4s_m,innovation_x_0.8s_m,innovation_y_0.8s_m,innovation_mag_0.8s_m,innovation_x_1.2s_m,innovation_y_1.2s_m,innovation_mag_1.2s_m,innovation_horizon_direction_coherence,innovation_0.8s_next5_direction_coherence,pre_tau_relative_path_causal_m
neutral,neutral_1200,Neutral 1200–1208.0s,1,1200.0,1208.0,1204.0,Away,15,3.629202564526351,1.4890500000000033,0.7634349206349178,1.6733507643482441,27.144183414605006,7.106655413910508,5.555495009789567,2.168823561591938,0.002150000000033181,-0.024900952380903618,0.0249935977697524,0.020166666666735722,-0.06592761904751754,0.06894305909750326,0.0740166666667621,-0.11929142857127673,0.14038843212684793,0.9816750242287346,0.9894497953436547,0.9916907366296154
neutral,neutral_1500,Neutral 1500–1508.0s,1,1500.0,1508.0,1504.0,Home,1,5.566156824887587,1.368983333333337,5.353391746031743,5.525660010661645,75.6555799688077,12.081703109272748,8.7135093200026,1.0073288646329677,-0.006166666666757692,0.003777777777500546,0.007231831214504206,-0.04630000000018519,-0.015078730159288511,0.04869351192134108,-0.1160500000002802,-0.02919682539766555,0.11966644104913793,0.9245040886036846,0.992481949108507,1.662957743035948
neutral,neutral_2100,Neutral 2100–2108.0s,1,2100.0,2108.0,2104.0,Home,2,11.382086787055929,7.31933333333333,-4.523424761904764,8.604301948505617,-31.71650005068076,11.829657885387196,1.512255419750928,1.3228367455227155,-0.012183333333749324,0.00941206349201451,0.015395471746554564,-0.030900000000834815,0.012142857142757535,0.033200285836736544,-0.06146666666791223,-0.0824850793652292,0.10286855413172867,0.7754033818272817,0.9084719455687482,2.3509619845656373
neutral,neutral_2700,Neutral 2700–2708.0s,1,2700.0,2708.0,2704.0,Home,2,6.951509989479673,2.391133333333329,-1.0100374603174567,2.5957068958228495,-22.899658295397554,6.774559250501274,9.109417635277813,2.678079717192421,-0.001133333333683595,0.007328888888883167,0.007416000053319412,-0.00946666666736462,-0.01247746031746333,0.015662209095937407,-0.02541666666773068,-0.01820888888889627,0.03126612510476317,0.5393547522247704,0.9962453370180291,1.0347585228657588
neutral,neutral_3000,Neutral 3000–3008.0s,2,3000.0,3008.0,3004.0,Away,15,15.499530196731657,-13.450433333333324,-6.899906031746028,15.116972583866435,-152.84273710044337,8.817403980317568,15.537228097577831,1.025306496439208,-0.00901666666614176,-0.04616444444419088,0.047036753806030215,-0.07238333333227764,-0.13507174603124028,0.15324399994851182,-0.2177833333317576,-0.28722984126907747,0.3604588214935943,0.9822008515883037,0.9918306469436318,2.9928018124860043
neutral,neutral_3300,Neutral 3300–3308.0s,2,3300.0,3308.0,3304.0,Home,2,10.389192870121,4.845566666666662,-6.873936507936509,8.410143841591143,-54.81927354353878,19.82027728362766,16.848989486352103,1.2353169060846212,-0.0011166666664627067,0.04237587301629375,0.04239058336868038,0.04015000000040797,0.18313587301671497,0.18748538739226348,0.2351166666672772,0.4144761904774512,0.4765190021577649,0.9755460134726949,0.9963590262612945,2.0986123704715878
neutral,neutral_3600,Neutral 3600–3608.0s,2,3600.0,3608.0,3604.0,Away,15,8.472314069548439,-6.428499999999998,-1.996609523809525,6.731423463173808,-162.74587692277117,11.993281399397103,7.311909492062176,1.2586214663062982,0.048150000000173776,-0.02893777777755524,0.05617666315045692,0.1630833333336792,0.07033142857186725,0.17760259980130805,0.30018333333384994,0.1332476190482783,0.32842801584739445,0.9015313872118674,0.9730714704577181,2.8181264732812785
neutral,neutral_3900,Neutral 3900–3908.0s,2,3900.0,3908.0,3904.0,Home,2,5.256871997832845,4.119883333333327,-3.226880634920635,5.233182331268759,-38.06966774399537,9.521574727808813,13.319468353537703,1.0045268184948455,-0.003950000000225273,0.02685460317477456,0.02714354825140574,-0.010150000000434645,0.08602539682574362,0.0866221184169233,-0.02155000000066032,0.1400044444449634,0.14165326316174753,0.9998829453762995,0.9998959382029204,1.5385175609867208
neutral,neutral_4200,Neutral 4200–4208.0s,2,4200.0,4208.0,4204.0,Away,15,7.907474771497272,1.1732833333333348,-2.529772698412698,2.7886096331168413,-65.11860023327355,16.54303820645419,16.31261702074055,2.8356334560384675,0.014033333333491882,0.06333714285735681,0.06487316941372696,0.046916666666982465,0.23889587301630932,0.24345926097679121,0.06990000000047125,0.5624895238101768,0.5668160851601385,0.9991982215330221,0.9999461759505689,1.911848261777103
neutral,neutral_4500,Neutral 4500–4508.0s,2,4500.0,4508.0,4504.0,Home,2,4.3766022106353075,-0.4208500000000086,-0.8841726984126999,0.9792221827136078,-115.45359209426604,3.8297892976781243,2.4610491967994266,4.4694680001089475,-0.09764999999999091,-0.10617714285673308,0.144253624443954,-0.14181666666665116,-0.3064857142848971,0.3377061740702465,-0.36123333333330976,-0.16253079364957124,0.39611334235980183,0.9576532125015476,0.9985857077622113,1.2479421629462009
neutral,neutral_5100,Neutral 5100–5108.0s,2,5100.0,5108.0,5104.0,Home,2,13.238792371416597,0.8140500000000053,-4.793201269841269,4.861836671023407,-80.36118197556156,16.957506796635055,20.175181203339882,2.723002286423961,-0.07980000000093224,0.2671536507941923,0.278817347259481,-0.25716666666852195,0.8747174603185375,0.9117375334116232,-0.631266666669446,1.6574082539698738,1.7735556728717086,0.9993600263057075,0.9998422235517921,4.999945667863325
