window_s,team_key,period,player_key,feature,count,min,q01,q25,median,mean,q75,q99,max
2,metrica:Home,1,metrica:Home:8,path_length_m,10983,0.07055257994280616,0.27963970581962766,2.276815781740529,3.5082433770340526,4.168656805616914,5.699482699114718,12.05305074090817,16.303818787515457
2,metrica:Home,1,metrica:Home:8,straightness,10983,0.03758428902108458,0.34292225774997986,0.9482851776675517,0.9913566121477108,0.9391985773941345,0.9983669037463858,0.9999510098298655,0.9999991696407978
2,metrica:Home,2,metrica:Home:8,delta_x_m,2047,-10.419450000000001,-9.237020999999999,-2.323125,-0.42899999999999805,-0.1482059355153884,1.694250000000002,10.501068,12.130350000000002
2,metrica:Home,2,metrica:Home:8,delta_y_m,2047,-9.919160000000003,-6.4664794285714295,-2.355471428571425,-0.36098285714285616,-0.29812008653779054,1.5474371428571416,7.260867085714288,9.125599999999995
2,metrica:Home,2,metrica:Home:8,displacement_m,2047,0.026763228504799966,0.374840276465413,2.2104937048333353,3.3531442039025583,3.980073131687863,5.191055930478276,11.291922362530915,12.232572821611086
2,metrica:Home,2,metrica:Home:8,path_length_m,2047,0.12399528156533944,0.7478462138226031,2.351435156666302,3.433505576628886,4.112950449534316,5.288962124755841,11.315873122700008,12.264060220095466
2,metrica:Home,2,metrica:Home:8,straightness,2047,0.011034367065083346,0.4034560180359656,0.9603156003369369,0.9909580109008725,0.9465681051196417,0.9980804458678149,0.9998890186459629,0.9999825238162068
2,metrica:Home,1,metrica:Home:9,delta_x_m,9670,-12.568649999999998,-8.611708500000002,-1.8275249999999983,0.10275000000000256,-0.05728164943123058,1.9500749999999993,6.420881999999994,8.973450000000007
2,metrica:Home,1,metrica:Home:9,delta_y_m,9670,-11.940508571428571,-7.547434628571426,-1.5291742857142867,-0.041625714285713045,-0.00459440508199143,1.4422800000000002,7.676027485714285,12.19550857142857
2,metrica:Home,1,metrica:Home:9,displacement_m,9670,0.007527944674369018,0.07462335111460348,1.99825629521431,2.7074907960374976,3.3270423318555506,4.1519301036659275,10.652571987329784,13.900554787518962
2,metrica:Home,1,metrica:Home:9,path_length_m,9670,0.046756466907527265,0.14070828740826136,2.1097850305604213,2.7911582285057905,3.4564846424281757,4.312592398107651,10.694406925963698,13.919435439205829
2,metrica:Home,1,metrica:Home:9,straightness,9670,0.03704342854035941,0.2943430455605913,0.947965386932552,0.9888611637470732,0.9358044018646228,0.9974572569008198,0.9999283262590034,0.9999997404024693
2,metrica:Home,2,metrica:Home:9,delta_x_m,13068,-12.4878,-7.8966135,-1.9326374999999985,-0.08909999999999663,-0.055858930211202945,1.3104375000000017,9.889990499999996,15.247650000000002
2,metrica:Home,2,metrica:Home:9,delta_y_m,13068,-14.58405714285714,-8.035906800000001,-1.077217142857143,0.09743428571428514,0.022065009838646194,1.2880171428571439,8.096201428571426,11.676474285714285
2,metrica:Home,2,metrica:Home:9,displacement_m,13068,0.0046689254980227714,0.0715560050857021,1.5658435694752735,2.497640963978995,3.201836652905952,3.827304357637751,12.519595540848233,16.62368565473514
2,metrica:Home,2,metrica:Home:9,path_length_m,13068,0.03460248898184227,0.15800377356689252,1.7122589747039356,2.5693908393335163,3.327309777167201,3.955756753079437,12.58895179926541,16.643819859944916
2,metrica:Home,2,metrica:Home:9,straightness,13068,0.02189588757342729,0.2270797535037606,0.9373398673988409,0.9857830362935499,0.9235341650376407,0.9970266538116035,0.9998612093761169,0.9999997962033722
4,metrica:Away,1,metrica:Away:15,delta_x_m,1961,-19.5951,-17.610719999999997,-4.00845,1.407149999999998,-0.12898898521162663,4.6647,10.532760000000001,12.475050000000003
4,metrica:Away,1,metrica:Away:15,delta_y_m,1961,-12.766028571428572,-11.317473142857144,-2.906611428571434,-0.5590571428571387,0.020019305019305007,3.6730685714285762,12.863404571428573,14.398999999999996
4,metrica:Away,1,metrica:Away:15,displacement_m,1961,0,0.978868525322881,4.273443613021415,6.027405453250975,6.82087643150712,8.84704138831342,20.788138063668843,23.579096791832466
4,metrica:Away,1,metrica:Away:15,path_length_m,1961,0,1.4772397074450447,5.032176336907508,6.624955960842667,7.59891352751539,9.778131928921086,20.886621165285305,23.599070864288876
4,metrica:Away,1,metrica:Away:15,straightness,1960,0.047697085815334654,0.31427361577475776,0.8349479228719874,0.9617905692491253,0.8874432390518053,0.9909493815339135,0.9997525797844643,0.9999561787950831
4,metrica:Away,2,metrica:Away:15,delta_x_m,1251,-20.0379,-19.136024999999993,-0.35437500000000455,1.121850000000002,0.5093565947242206,4.260974999999998,9.525075,10.674000000000003
4,metrica:Away,2,metrica:Away:15,delta_y_m,1251,-9.912554285714284,-8.028128571428567,-1.4795342857142866,-0.10306857142856884,0.11049879639145836,0.6410942857142778,12.600594285714283,13.844120000000004
4,metrica:Away,2,metrica:Away:15,displacement_m,1251,0,0,1.7645100260199356,4.361678659808697,5.060273758331379,6.540093894701219,20.337905569879556,21.596482657586414
4,metrica:Away,2,metrica:Away:15,path_length_m,1251,0,0,2.678493172906198,4.818901420306103,5.587081690919111,6.619861000984493,20.678248091202576,22.110276160435497
4,metrica:Away,2,metrica:Away:15,straightness,1146,0.07186780931224519,0.12641082776655896,0.7995484382816872,0.9713375009863535,0.8598547107605226,0.9928648775426013,0.9988372581319972,1
4,metrica:Away,1,metrica:Away:16,delta_x_m,13530,-25.50705,-15.839223000000002,-3.154462500000002,-0.03502499999999764,-0.009828381374722826,3.4451624999999995,13.872340499999998,16.844549999999998
4,metrica:Away,1,metrica:Away:16,delta_y_m,13530,-16.94861142857143,-12.0992944,-2.734328571428572,-0.0911199999999972,-0.024283861894203364,2.8254728571428553,11.868745257142846,15.273868571428572
4,metrica:Away,1,metrica:Away:16,displacement_m,13530,0.006937389969710435,0.1310869701724654,3.3389303576669884,5.499130857776936,6.246500266804258,8.63567684324558,18.35648125687384,25.581816707786682
4,metrica:Away,1,metrica:Away:16,path_length_m,13530,0.12982202912233035,0.35925069073629357,4.281477659857794,6.48698215218191,7.1117184756233405,9.609957788070348,19.06937810577883,25.999244234062605
4,metrica:Away,1,metrica:Away:16,straightness,13530,0.021995828352084648,0.16483237558485225,0.7810710339891467,0.9305792411966576,0.84386729686848,0.9858956132099654,0.9996359094913613,0.9999537956791038
4,metrica:Away,2,metrica:Away:16,delta_x_m,14569,-18.416100000000004,-13.673538,-3.2579999999999956,-0.05100000000000726,-0.013456438327956531,2.550300000000007,17.30133,28.170899999999996
4,metrica:Away,2,metrica:Away:16,delta_y_m,14569,-18.92197142857142,-11.659567542857145,-2.0612742857142905,0.07363428571428754,0.00493274212368732,2.0471885714285705,10.97565462857142,15.168759999999997
4,metrica:Away,2,metrica:Away:16,displacement_m,14569,0.0023189177630574534,0.08200866866844767,2.382284817208909,4.63034622950375,5.553870179573425,7.652260176876116,19.848961225676945,28.470449441823547
4,metrica:Away,2,metrica:Away:16,path_length_m,14569,0.12587884868655724,0.29867555263729584,3.304559185039795,5.268102847642643,6.333923534999602,8.689816875664178,20.507881791516798,28.908437865582055
4,metrica:Away,2,metrica:Away:16,straightness,14569,0.0022306547174607244,0.12555868164751507,0.7482746206148239,0.9366850608601196,0.828161091461644,0.986984114188311,0.9994410718961652,0.999949599884683
4,metrica:Away,1,metrica:Away:17,delta_x_m,4662,-21.605850000000004,-14.103522,-4.123687500000001,-0.5302500000000006,-0.09709761904761909,4.090912500000002,14.203689000000006,16.213200000000004
4,metrica:Away,1,metrica:Away:17,delta_y_m,4662,-13.256211428571428,-10.072170685714282,-2.539751428571429,-0.12890857142857137,-0.04211926334497763,2.077642857142856,10.259316400000007,13.144108571428575
4,metrica:Away,1,metrica:Away:17,displacement_m,4662,0.06551293452285543,0.3998528552486499,3.3276086762912827,5.832814333117112,6.273595887432948,8.635317898110738,16.78088954426704,21.976395202794063
4,metrica:Away,1,metrica:Away:17,path_length_m,4662,0.2605211819051983,0.7847471186628794,4.487897739604207,6.559733506653263,7.110828690299341,9.4884802313093,16.951209283224763,23.307589528999117
4,metrica:Away,1,metrica:Away:17,straightness,4662,0.03478368572184914,0.18368146145755343,0.7809290382228118,0.9453710308700254,0.8517304966425673,0.9887193068416193,0.9994286708771852,0.9997332227596539
4,metrica:Away,2,metrica:Away:17,delta_x_m,14622,-20.1171,-12.562948499999994,-3.374775000000004,-0.0035249999999962256,-0.007981924497332775,2.340037499999999,19.21724999999995,25.481250000000003
4,metrica:Away,2,metrica:Away:17,delta_y_m,14622,-21.972257142857146,-11.61631274285714,-1.7975314285714288,0.0356028571428566,0.005437807608886788,2.0610799999999996,10.8364887428571,17.69855428571428
4,metrica:Away,2,metrica:Away:17,displacement_m,14622,0.005797294407653069,0.09919442271042751,2.283278648571295,4.446688657164067,5.39492955036523,7.2089883213743216,20.386319811352227,29.023582389893015
4,metrica:Away,2,metrica:Away:17,path_length_m,14622,0.14650596788872872,0.33222924466999765,3.034896604286623,5.128516907610626,6.041026628044754,8.051608212398662,20.711277030390608,29.652088732757925
4,metrica:Away,2,metrica:Away:17,straightness,14622,0.009602904461802142,0.16025216327937353,0.7774697395113155,0.9392392598957855,0.8438483172831752,0.9863957135729994,0.999692769586777,0.9999917427365074
4,metrica:Away,1,metrica:Away:18,delta_x_m,13567,-25.80285,-17.566245,-3.7547999999999995,-0.05864999999999654,-0.005620671482273175,3.9057000000000004,17.885814,28.300949999999993
4,metrica:Away,1,metrica:Away:18,delta_y_m,13567,-17.997365714285706,-11.264969371428569,-3.285031428571429,-0.38381142857142825,-0.015194683738904275,2.8392914285714297,13.532415771428571,17.834165714285714
4,metrica:Away,1,metrica:Away:18,displacement_m,13567,0.02390172058531849,0.5351774811158687,3.7054701300067485,5.787705167360712,6.986261319889029,9.350976446791616,22.607825657925314,29.040716978858722
4,metrica:Away,1,metrica:Away:18,path_length_m,13567,0.26614404251683,1.3674668131155452,4.583569589879386,6.561904144341517,7.929621109803369,10.491308732530783,22.93030778204573,29.333182038996906
4,metrica:Away,1,metrica:Away:18,straightness,13567,0.005042951422909916,0.1907910093861964,0.7949960884326759,0.9405443571982636,0.8536828016201055,0.9845690845829478,0.999313887223784,0.9998907519540914
4,metrica:Away,2,metrica:Away:18,delta_x_m,14539,-30.970800000000008,-18.241728000000002,-3.264299999999999,-0.1232999999999933,-0.037058996492193415,2.632724999999999,21.184106999999937,27.9651
4,metrica:Away,2,metrica:Away:18,delta_y_m,14539,-20.296154285714284,-13.111342285714283,-1.7986000000000015,0.17087428571428198,0.007548692875320572,2.403994285714286,10.080772685714274,14.56054857142857
4,metrica:Away,2,metrica:Away:18,displacement_m,14539,0.020411173610632317,0.23874738465740747,2.399630481262431,4.834063713181062,6.038122621533072,8.187979340818206,23.790170694557233,31.103108008431104
4,metrica:Away,2,metrica:Away:18,path_length_m,14539,0.08890250342406197,0.39597200336383587,3.08224036750972,5.501990797387662,6.783883957102435,9.216408411725478,24.469437678193938,31.203657774420147
4,metrica:Away,2,metrica:Away:18,straightness,14539,0.00880475615584013,0.18432663718063153,0.7946468320568192,0.9371348416048464,0.8502523270404821,0.9873377833798688,0.9999980593250304,0.9999999322960049
4,metrica:Away,1,metrica:Away:19,delta_x_m,13567,-23.097899999999996,-18.758286,-4.447199999999999,-0.2546999999999997,-0.009455119038844212,4.623224999999996,18.952527000000007,26.436749999999996
4,metrica:Away,1,metrica:Away:19,delta_y_m,13567,-17.43384,-12.273133485714284,-2.7933914285714296,-0.316005714285712,-0.0016899219745390621,2.9914657142857175,11.151539542857149,19.187851428571427
4,metrica:Away,1,metrica:Away:19,displacement_m,13567,0.013150907162007354,0.6171828322775698,4.171157806548617,6.094716774806029,7.471598572042457,10.12892881485935,22.166685787356993,26.765388095170213
4,metrica:Away,1,metrica:Away:19,path_length_m,13567,0.19145653986505143,0.9828362485903696,4.992364946610632,7.442678147224532,8.514543997127918,11.337099715710595,22.395007505535293,26.9086524008753
4,metrica:Away,1,metrica:Away:19,straightness,13567,0.011009458496013938,0.21006157042267337,0.8099153437400174,0.9482386219254367,0.8652862576099928,0.9906328491747067,0.9999993967831271,0.9999997364852141
