episode_id,duration_s,path_m,displacement_m,delta_x_m,delta_y_m,displacement_path_ratio,path_displacement_ratio,peak_speed_mps,mean_speed_mps,start_speed_mps,end_speed_mps,max_chord_deviation_m,signed_heading_change_deg,absolute_heading_change_deg,heading_changes_ge45_count,team,player,period,block_id,start_frame,end_frame,start_s,end_s,start_x_m,start_y_m,end_x_m,end_y_m,start_boundary_kind,end_boundary_kind,method_b_overlap,diag_short,diag_tiny_path,diag_tiny_displacement,diag_long,diag_low_displacement_path_ratio,diag_direction_change,diag_lower_speed_meaningful_displacement,diag_fragmentation_any,diag_merging_any
G2B003506,5.080000000000041,26.74999678383821,25.359640465069724,-22.321949999999998,-12.035028571428567,0.9480240566006904,1.0548255532519697,7.341713933039562,5.256294826588867,4.055818207422841,1.5701879843276254,2.963459401927591,-113.21442816050538,115.25775688046087,0,Home,8,1,metrica:Home:8|P1|S002|O007,23460,23587,938.4,943.48,13.488299999999999,-15.181680000000002,-8.833649999999999,-27.21670857142857,valley,direction,True,False,False,False,False,False,False,False,False,False
G2B003507,1.6000000000000227,5.130885590579883,5.106450531777208,-0.5332500000000034,-5.078531428571425,0.995237652765531,1.004785135712295,3.376827292364271,3.2087822945703706,3.287934312889545,2.9031118068776567,0.21818628149034333,15.929739115365653,18.890466701976134,0,Home,9,1,metrica:Home:9|P1|S002|O003,23465,23505,938.6,940.2,0.6651000000000025,10.036411428571428,0.131849999999999,4.957880000000003,valley,valley,False,False,False,False,False,False,False,True,False,False
G2B003508,3.0400000000000773,12.957083947412773,12.665901355124028,-5.133749999999999,-11.578845714285714,0.9775271509028938,1.0229894884007562,4.487006753197341,4.260455207694189,4.127952307141059,3.904932007683958,1.1570632840512198,-37.62330047063337,41.24358249333018,0,Home,7,1,metrica:Home:7|P1|S004|O007,23470,23546,938.8,941.84,12.6909,-0.3046399999999981,7.55715,-11.883485714285712,valley,valley,False,False,False,False,False,False,False,True,False,False
G2B003509,1.1599999999999682,2.0203012402427936,2.011425458423419,-0.14894999999999214,-2.0059028571428534,0.9956067037714098,1.0044126824497546,1.8397156310971992,1.7372978462749218,1.6114043821766457,1.7226601758968705,0.08069791026214934,-17.924085013989455,18.202989130086696,0,Away,23,1,metrica:Away:23|P1|S001|O014,23486,23515,939.44,940.6,21.715049999999998,13.899005714285712,21.566100000000006,11.893102857142859,valley,valley,False,True,False,False,False,False,False,False,True,False
G2B003510,1.1200000000000045,3.2038320464725167,3.1975035360095965,-0.4966499999999989,-3.158697142857142,0.9980247059236803,1.0019792035854378,2.976655776573876,2.854802381177265,2.6934678923282043,2.9229080745401426,0.0857578002152257,-11.084761347029806,12.244421901825493,0,Home,3,1,metrica:Home:3|P1|S001|O014,23487,23515,939.48,940.6,21.8373,0.13891428571428574,21.34065,-3.0197828571428564,valley,valley,False,True,False,False,False,False,False,True,True,False
G2B003511,2.4400000000000546,5.267754805892395,5.234843124306594,5.143350000000002,-0.9744400000000013,0.9937522373765411,1.006287042573059,3.36834200721534,2.178127079968165,3.3500088107209716,0.16481808540195858,0.11156212235495083,16.989230865800618,48.309657312643594,0,Away,22,1,metrica:Away:22|P1|S002|O014,23489,23550,939.56,942.0,8.740349999999998,16.308051428571428,13.8837,15.333611428571427,valley,valley,False,False,False,False,False,False,False,True,False,False
G2B003512,1.7200000000000273,4.728269005298727,4.594078573146842,-0.08954999999999913,-4.593205714285713,0.9716195436423974,1.029209433407659,2.8618302266535953,2.746324127426518,2.6315364743004874,2.628131610139916,0.4880426027333303,-45.00574586700201,45.00574586700201,0,Home,1,1,metrica:Home:1|P1|S002|O007,23495,23538,939.8,941.52,21.245849999999997,21.261657142857143,21.156299999999998,16.66845142857143,valley,valley,False,False,False,False,False,False,False,True,False,False
G2B003513,1.6000000000000227,6.62018757320261,6.450417066360905,-3.6807,-5.297200000000002,0.9743556349477306,1.0263193069680816,4.463481253808192,4.141654678642619,4.303152494284205,3.7967631387244993,0.6537063055510579,-41.93315012161079,41.93315012161079,0,Away,16,1,metrica:Away:16|P1|S001|O014,23500,23540,940.0,941.6,-9.60975,-13.735222857142857,-13.29045,-19.03242285714286,valley,valley,False,False,False,False,False,False,False,True,False,False
G2B003514,5.759999999999991,17.036866483912796,16.998684256067815,-7.34985,-15.32758857142857,0.9977588467996134,1.002246187250131,3.460870080714245,2.9574421777317177,2.9074536732784253,1.7759021981384169,0.48502995200432025,-13.109138003069694,29.73740506586995,0,Away,24,1,metrica:Away:24|P1|S001|O014,23503,23647,940.12,945.88,16.628999999999998,1.6749371428571431,9.279149999999998,-13.652651428571428,valley,valley,False,False,False,False,False,False,False,True,False,False
G2B003515,1.3600000000000136,3.343675971054461,3.2257818562529357,-1.6758000000000024,-2.756331428571431,0.9647411663623774,1.0365474542467887,2.7639821760202814,2.4539601439607743,2.296705762266509,2.761918615756986,0.386657945491608,-48.41161564760365,48.41161564760365,0,Home,2,1,metrica:Home:2|P1|S002|O003,23503,23537,940.12,941.48,23.03775,7.124651428571428,21.361949999999997,4.368319999999997,valley,valley,False,True,False,False,False,False,False,True,True,False
G2B003516,1.1999999999999318,3.2740291416247853,3.2125352101797917,-0.8942999999999992,-3.085548571428575,0.981217659102913,1.01914187002531,2.947211828578965,2.73399484991942,2.9031118068776567,2.524669734919738,0.2707179101196648,-36.82237701654607,36.82237701654607,0,Home,9,1,metrica:Home:9|P1|S002|O003,23505,23535,940.2,941.4,0.131849999999999,4.957880000000003,-0.7624500000000002,1.8723314285714283,valley,valley,False,True,False,False,False,False,False,True,True,False
G2B003517,2.6399999999999864,4.577483316416507,4.040932551381967,-4.038750000000001,-0.13279428571429008,0.8827847688466116,1.1327789460012252,2.4832728989838144,1.726708720434419,1.252401358694257,2.4693014059951843,0.8989421004990511,-88.77269902296341,91.76412847462807,0,Away,18,1,metrica:Away:18|P1|S001|O014,23511,23577,940.44,943.08,6.220199999999999,25.188948571428572,2.181449999999998,25.056154285714282,valley,valley,False,False,False,False,False,False,False,True,False,False
G2B003518,5.840000000000032,14.534553977419039,13.98554666910356,-13.274700000000008,-4.40202857142857,0.9622274402662496,1.0392553341892834,3.4597219570986018,2.4835816980365437,1.7226601758968705,1.3016529914679758,1.1199909066962055,-28.604312296398707,121.43849828965112,0,Away,23,1,metrica:Away:23|P1|S001|O014,23515,23661,940.6,946.44,21.566100000000006,11.893102857142859,8.291399999999998,7.491074285714289,valley,valley,False,False,False,False,False,False,False,True,False,False
G2B003519,1.759999999999991,5.87776746807927,5.725545695294034,-3.9778500000000037,-4.118080000000002,0.9741021104336102,1.0265864217816567,3.7255601635073674,3.330379883922717,2.9229080745401426,3.708599353299103,0.5837616946708106,-41.78738361575754,41.78738361575754,0,Home,3,1,metrica:Home:3|P1|S001|O014,23515,23559,940.6,942.36,21.34065,-3.0197828571428564,17.362799999999996,-7.137862857142858,valley,valley,False,False,False,False,False,False,False,True,False,False
G2B003520,1.5600000000000591,4.248661230145595,4.089217828702648,-3.829200000000001,-1.434897142857143,0.962472084074003,1.0389911734033332,2.9332330051089657,2.718530012213887,2.524669734919738,2.929983201738006,0.5018821261807992,-51.19586346979278,51.19586346979278,0,Home,9,1,metrica:Home:9|P1|S002|O003,23535,23574,941.4,942.96,-0.7624500000000002,1.8723314285714283,-4.591650000000001,0.43743428571428516,valley,valley,False,False,False,False,False,False,False,True,False,False
G2B003521,1.5599999999999454,4.7375201345306435,4.706678065260036,-4.427099999999996,-1.597999999999998,0.9934898283501093,1.00655283170911,3.1583036941541835,3.0299980494756786,2.761918615756986,3.1293006130042187,0.23267412768805024,-22.994715789193133,22.994715789193133,0,Home,2,1,metrica:Home:2|P1|S002|O003,23537,23576,941.48,943.04,21.361949999999997,4.368319999999997,16.93485,2.770319999999999,valley,valley,False,False,False,False,False,False,False,True,False,False
G2B003522,1.3999999999999773,3.82100413522595,3.7043013564567,-3.065249999999999,-2.079925714285718,0.9694575628187985,1.0315046664780212,2.817104648984591,2.7264787497441727,2.628131610139916,2.670564341684011,0.39821903597872044,-49.81908271626528,49.81908271626528,0,Home,1,1,metrica:Home:1|P1|S002|O007,23538,23573,941.52,942.92,21.156299999999998,16.66845142857143,18.09105,14.588525714285712,valley,valley,False,True,False,False,False,False,False,True,True,False
G2B003523,1.6000000000000227,4.226827833779444,4.0499998762902445,-3.9434999999999967,-0.922662857142857,0.9581653276539803,1.0436612254050663,3.800608429409621,2.6699380239807757,3.7967631387244993,0.9098825782039344,0.4544671626650484,-86.05929808411274,86.05929808411274,0,Away,16,1,metrica:Away:16|P1|S001|O014,23540,23580,941.6,943.2,-13.29045,-19.03242285714286,-17.233949999999997,-19.955085714285715,valley,direction,False,False,False,False,False,False,False,True,False,False
G2B003524,4.1200000000000045,9.08438742748035,8.344953847673699,-8.2434,-1.2979257142857161,0.9186039140548038,1.0886084684593889,3.913357949382044,2.221294400910533,3.904932007683958,0.5290671227803453,1.1923174842006172,-71.00035970601355,135.8467983518888,0,Home,7,1,metrica:Home:7|P1|S004|O007,23546,23649,941.84,945.96,7.55715,-11.883485714285712,-0.68625,-13.181411428571428,valley,direction,False,False,False,False,False,False,False,True,False,False
