history,outer_heldout_match,model,inner_heldout_match,alpha,MAE,constant_features_removed,solver
2s,J03WN1,B1,J03WOH,100.0,2.1764834500256973,0,solve
2s,J03WN1,B1,J03WOY,0.01,2.208929613323819,0,solve
2s,J03WN1,B1,J03WOY,0.1,2.2089299016291695,0,solve
2s,J03WN1,B1,J03WOY,1.0,2.2089327846301767,0,solve
2s,J03WN1,B1,J03WOY,10.0,2.208961609391172,0,solve
2s,J03WN1,B1,J03WOY,100.0,2.209249336258435,0,solve
2s,J03WN1,B1,J03WPY,0.01,2.182149776670751,0,solve
2s,J03WN1,B1,J03WPY,0.1,2.1821502730133284,0,solve
2s,J03WN1,B1,J03WPY,1.0,2.1821552363272634,0,solve
2s,J03WN1,B1,J03WPY,10.0,2.1822048582868563,0,solve
2s,J03WN1,B1,J03WPY,100.0,2.1826999636771944,0,solve
2s,J03WN1,B1,J03WQQ,0.01,2.2875039271779567,0,solve
2s,J03WN1,B1,J03WQQ,0.1,2.28750417616581,0,solve
2s,J03WN1,B1,J03WQQ,1.0,2.2875066659868817,0,solve
2s,J03WN1,B1,J03WQQ,10.0,2.287531558453092,0,solve
2s,J03WN1,B1,J03WQQ,100.0,2.2877817689730002,0,solve
2s,J03WN1,B1,J03WR9,0.01,2.1900568767359574,0,solve
2s,J03WN1,B1,J03WR9,0.1,2.190057065587871,0,solve
2s,J03WN1,B1,J03WR9,1.0,2.1900589540523008,0,solve
2s,J03WN1,B1,J03WR9,10.0,2.1900778332285196,0,solve
2s,J03WN1,B1,J03WR9,100.0,2.19026748510738,0,solve
2s,J03WN1,B2,J03WMX,0.01,2.1360889979745465,0,solve
2s,J03WN1,B2,J03WMX,0.1,2.136088592304665,0,solve
2s,J03WN1,B2,J03WMX,1.0,2.136084542451365,0,solve
2s,J03WN1,B2,J03WMX,10.0,2.1360449713444183,0,solve
2s,J03WN1,B2,J03WMX,100.0,2.1357917567280293,0,solve
2s,J03WN1,B2,J03WOH,0.01,2.1331157390554307,0,solve
2s,J03WN1,B2,J03WOH,0.1,2.13311643963026,0,solve
2s,J03WN1,B2,J03WOH,1.0,2.1331234428587176,0,solve
2s,J03WN1,B2,J03WOH,10.0,2.1331934919684743,0,solve
2s,J03WN1,B2,J03WOH,100.0,2.133953118038266,0,solve
2s,J03WN1,B2,J03WOY,0.01,2.1653583904418245,0,solve
2s,J03WN1,B2,J03WOY,0.1,2.1653599227254747,0,solve
2s,J03WN1,B2,J03WOY,1.0,2.1653752339932644,0,solve
2s,J03WN1,B2,J03WOY,10.0,2.1655280125133656,0,solve
