scope,group,n,mean_residual,median_residual,residual_sd,mean_absolute_residual
player,DFL-OBJ-00021G,412,-0.040310026686671496,-0.5653155440970257,2.8026848219989278,2.1486051116314746
player,DFL-OBJ-000270,297,0.6773158674644733,0.30393761500274064,3.3248244367791417,2.4960529393014474
player,DFL-OBJ-00028V,1096,-0.6284960862159347,-1.0472062353116003,2.711738120912337,2.0877669667310603
player,DFL-OBJ-0002AU,263,0.17017190566616439,-0.2707963349276028,2.9101608687294207,2.1861007221752846
player,DFL-OBJ-0002BO,297,0.609436342038505,-0.25707799307287793,3.320959267148143,2.2946388808563527
player,DFL-OBJ-0002DT,412,-0.48273278348449783,-0.8519539176497388,2.4810470219891965,1.9626067283894149
player,DFL-OBJ-0002EL,275,0.33052428303375614,-0.51760707991399,3.2836104603852063,2.3774781506192553
player,DFL-OBJ-0002F5,263,-0.13697401656522412,-0.5138765510832464,2.7264104846430164,2.032631562814116
player,DFL-OBJ-0002LI,269,-0.7598658969230337,-0.9641763332068516,2.1421532205573204,1.7649096530190278
player,DFL-OBJ-002595,292,0.0975245779867626,-0.5908022564098072,3.273286251098295,2.482759330993275
player,DFL-OBJ-0025BB,304,-0.02338622090668768,-0.42317888385667013,2.8102603040481586,2.0434673776381858
player,DFL-OBJ-0025YM,322,0.33090079698773,-0.14570567843072046,3.028350136669503,2.2820084961626725
player,DFL-OBJ-002651,352,-0.48262509526725056,-0.8082481625575055,2.413979210239645,1.8797791153743901
player,DFL-OBJ-00265G,382,0.4431517348626335,0.04369701749902388,3.2739981096215534,2.368765317245935
player,DFL-OBJ-00268T,352,-0.2648873167995336,-0.8255738267563448,2.580936113785239,1.9580050719826045
player,DFL-OBJ-0026IA,153,0.030693633608601292,-0.6119136048754874,3.8988597693475673,2.3040708796062996
player,DFL-OBJ-0026MI,200,-0.13324318771388757,-0.722631532768744,2.885717622950249,2.190177666168615
player,DFL-OBJ-0026PM,225,0.6355103225409424,-0.13368310534843175,3.437265232504369,2.5200053881370903
player,DFL-OBJ-0026RH,898,0.5983671272225565,-0.08442690754563609,3.2521468372910634,2.3637483668762425
player,DFL-OBJ-0026UQ,232,0.32425227112965627,-0.04749596857518035,2.9745477530476676,2.150614691692193
player,DFL-OBJ-0026V5,248,0.0614028391915232,-0.6354634797760581,3.509430081797235,2.319205512966555
player,DFL-OBJ-0026WW,412,-0.1855429875301076,-0.6883613160383022,2.4465630216137897,1.8690129727373026
player,DFL-OBJ-0026ZI,64,-1.0830162063310333,-1.498673257535949,2.14890647950529,1.9717875092841755
player,DFL-OBJ-0026ZT,304,0.29406993729079756,-0.29208284333853296,3.1965208674437573,2.1773693582853553
player,DFL-OBJ-0027AX,297,-0.17756159984118877,-0.6718998156880565,2.92149693148482,2.259989966025865
player,DFL-OBJ-0027AY,27,2.208389088962441,-0.2823954829555948,7.697361187494889,3.899890074215804
player,DFL-OBJ-0027B0,272,0.26875302341272483,-0.41489490384886274,3.0598712713887455,2.3298775072259112
player,DFL-OBJ-0027B6,432,-0.33575232016090956,-0.67811253506939,2.465776239393068,1.8350727617425495
player,DFL-OBJ-0027FG,241,0.31203794984580224,-0.18830749582030748,2.714977787991373,1.9905495261133241
player,DFL-OBJ-0027G0,263,-0.0456325358506288,-0.4009269064438459,2.5520220739394017,1.9598386475581664
player,DFL-OBJ-0027G6,263,0.6455281086528318,0.23598498599827433,3.167066266323831,2.3857484767535975
