history,outer_heldout_match,model,alpha,n,MAE,median_absolute_error,RMSE,R2
1s,J03WMX,B0,,6948,2.73049291982639,2.035778130537614,3.7846712753878182,-0.08350673093008476
1s,J03WMX,B1,0.1,6948,2.0868109339080116,1.6252322842369824,2.8554663806213902,0.3832212704182849
1s,J03WMX,B2,0.1,6948,2.0596627366872964,1.560017108488958,2.816042961845474,0.4001345652947468
1s,J03WMX,B3,0.1,6948,2.0531672619344934,1.5611286039623353,2.805041465913216,0.40481242439436327
1s,J03WMX,B4,100.0,6948,2.048268999003212,1.5580329808657851,2.7979191909999517,0.40783106626343
1s,J03WN1,B0,,5436,2.4913646142689476,1.974154786955099,3.41581872058588,-0.004584387575115478
1s,J03WN1,B1,0.1,5436,1.956712038986186,1.5926187037634307,2.649207569728519,0.39573314898239764
1s,J03WN1,B2,0.1,5436,1.868233471619561,1.4672288608434343,2.581812300011461,0.4260869149311016
1s,J03WN1,B3,0.1,5436,1.8628534904112677,1.4611909489046848,2.571643730006729,0.4305987711717416
1s,J03WN1,B4,0.1,5436,1.8547703417535955,1.4311151252595478,2.5701892454594755,0.4312426792481513
1s,J03WOH,B0,,6116,2.6572770808179986,2.0162091323511078,3.6630072126708892,-0.05195084055106913
1s,J03WOH,B1,0.1,6116,2.0683380845421557,1.6405273056257956,2.8213869663688835,0.37591289551284734
1s,J03WOH,B2,0.1,6116,2.031203740637197,1.574011611357254,2.7920428700255115,0.3888271379736188
1s,J03WOH,B3,0.1,6116,2.024497698531935,1.54878616513034,2.7929396251290957,0.3884344789606158
1s,J03WOH,B4,10.0,6116,2.024906421646973,1.5466859982949317,2.7883875871892996,0.3904263593449234
1s,J03WOY,B0,,6342,2.6659293100277877,1.9700421699747117,3.760336600215697,-0.05732720125294155
1s,J03WOY,B1,0.1,6342,2.129721402974953,1.615473158044253,3.2844270319935616,0.19336846367916916
1s,J03WOY,B2,0.1,6342,2.0905941708927833,1.5586427591033933,3.190163834413187,0.23900476716692964
1s,J03WOY,B3,0.1,6342,2.064666350421434,1.521835990260596,3.142008176674083,0.2618058768886977
1s,J03WOY,B4,100.0,6342,2.0596208206014164,1.5261121448870618,3.128889381343644,0.2679573570016238
1s,J03WPY,B0,,7075,2.6759745682397584,2.0546464329745238,3.73473217851952,-0.03265425515618081
1s,J03WPY,B1,0.1,7075,2.0888679780457733,1.676739928408947,2.863367267671044,0.39299799736873586
1s,J03WPY,B2,0.1,7075,2.029078102822834,1.5618205296993897,2.826996119736156,0.40832061702614
1s,J03WPY,B3,0.1,7075,2.0159555682462287,1.5532113001943073,2.8089577364738822,0.41584725540564305
1s,J03WPY,B4,0.1,7075,2.0050078550444974,1.5382944850014102,2.801488020781544,0.41894993873312614
1s,J03WQQ,B0,,6296,2.8034095757362762,2.0311917720362116,3.9477850778391557,-0.09781768293631976
1s,J03WQQ,B1,0.1,6296,2.2078057865363347,1.6770043708061344,3.0897853233012844,0.32751928965248855
1s,J03WQQ,B2,100.0,6296,2.180870425474363,1.6450458327632398,3.0524767054943416,0.3436614151293578
1s,J03WQQ,B3,10.0,6296,2.1749824508758215,1.6452280386831257,3.0288503533589846,0.3537822946001966
1s,J03WQQ,B4,100.0,6296,2.1716560180615754,1.640552215994791,3.024850304744376,0.35548802123663925
1s,J03WR9,B0,,6556,2.6154624513088756,1.921201607879556,3.6747848897649433,-0.08500195521518705
1s,J03WR9,B1,0.1,6556,2.1200561878508664,1.6179115381922864,2.917520636060866,0.3160969350892364
1s,J03WR9,B2,100.0,6556,2.0964356017960215,1.600489737724324,2.889244603759627,0.32928920154131613
1s,J03WR9,B3,100.0,6556,2.0832024406350182,1.5903066267565842,2.862420285991031,0.34168541188416646
1s,J03WR9,B4,100.0,6556,2.077173382354765,1.584399703893603,2.8568240401606513,0.3442570041487766
