history,outer_heldout_match,model,bin,realized_bins,lower_edge,upper_edge,n,predicted_mean,predicted_median,observed_mean,observed_median,calibration_slope,calibration_intercept
2s,J03WOY,B3,2,5,3.945247045113769,4.896699531424308,1230,4.415279742019203,4.416151912026048,4.461990903724557,4.0659585463392816,,
2s,J03WOY,B3,3,5,4.896699531424308,5.962425381173026,1173,5.430479716714789,5.440520769763287,5.845843268790347,5.346825585498155,,
2s,J03WOY,B3,4,5,5.962425381173026,7.379744469818576,1255,6.6257164672921895,6.59484412874288,6.926933894728151,6.279221005023359,,
2s,J03WOY,B3,5,5,7.379744469818576,30.542391841710042,1329,9.095964575188278,8.584419811626443,8.841051448571026,8.025084306556604,,
2s,J03WOY,B3,ALL,5,,,6342,5.778037617683737,5.4393656863527875,5.808867304017058,4.930496791001204,0.8766367389918517,0.743627249078542
2s,J03WOY,B4,1,5,1.5872477793884814,3.9425676059513575,1377,3.291063330427515,3.3904934029289717,2.99597117403632,2.661422949436984,,
2s,J03WOY,B4,2,5,3.9425676059513575,4.902241733893226,1199,4.417747460218325,4.428571291923362,4.456344141458282,4.066885295956295,,
2s,J03WOY,B4,3,5,4.902241733893226,5.960923298342665,1179,5.425565023856209,5.436788989523991,5.846441374715923,5.347336285908801,,
2s,J03WOY,B4,4,5,5.960923298342665,7.37622385951359,1235,6.620412743104795,6.604325964762294,6.927734248456189,6.280564380928447,,
2s,J03WOY,B4,5,5,7.37622385951359,30.07495572527442,1352,9.085355517091426,8.548204555204315,8.81843293800756,8.007053082349673,,
2s,J03WOY,B4,ALL,5,,,6342,5.784456791354298,5.440868097438749,5.808867304017058,4.930496791001204,0.8819246643004914,0.7074121901412219
2s,J03WPY,B1,1,5,2.7796882674910344,4.271325342686759,1593,3.673537475853825,3.707880322443086,2.904488880564358,2.438034945096636,,
2s,J03WPY,B1,2,5,4.271325342686759,4.995686110552163,1383,4.634224639616192,4.633778508353696,4.486806753205599,3.9812039784789417,,
2s,J03WPY,B1,3,5,4.995686110552163,5.7728533983784205,1412,5.374276660535277,5.373033956902554,5.5290612556276955,5.05460665532004,,
2s,J03WPY,B1,4,5,5.7728533983784205,7.061904082599117,1363,6.331286353018187,6.286481456442613,6.662525315345928,6.125129374535739,,
2s,J03WPY,B1,5,5,7.061904082599117,67.38324552694232,1323,9.017982746970116,8.47065328243449,9.113067355855929,8.330538647752766,,
2s,J03WPY,B1,ALL,5,,,7074,5.712452783956093,5.28715470362839,5.622950118176783,4.769820030259984,1.0509083118152107,-0.38031399333461013
2s,J03WPY,B2,1,5,2.068997031182096,4.106299042884369,1650,3.354085735620765,3.4235826910532223,2.877195979153727,2.424234026879921,,
2s,J03WPY,B2,2,5,4.106299042884369,4.974983457814094,1361,4.536818879248942,4.535612312880179,4.504435545103111,4.068545729818907,,
2s,J03WPY,B2,3,5,4.974983457814094,5.965876892372851,1369,5.446794949215171,5.435584106155468,5.6470404139855965,5.11219490633982,,
2s,J03WPY,B2,4,5,5.965876892372851,7.310768768590142,1389,6.565118933115095,6.534282377600581,6.676224270556353,6.051435325478197,,
2s,J03WPY,B2,5,5,7.310768768590142,58.17415590297482,1305,9.052417580699286,8.51391950607666,9.114762570838717,8.288507469233718,,
