observation_id,anchor_id,period,time_period_s,time_match_s,block_id,focal_attacker_key,attacking_team,defending_team,recipient_keys_ranked,defender_keys_ranked,O,O_fixed_start,O_three_nearest,A,D,S0,MR,Apre,Dpre,D_deformation,local_separation_change,remote_separation_change,recipient_nearest_identity_churn
OR1|P1|T774.04|metrica:Away:19,P1|T774.04,1,774.04,774.04,12,metrica:Away:19,metrica:Away,metrica:Home,metrica:Away:15|metrica:Away:23|metrica:Away:20|metrica:Away:18|metrica:Away:16|metrica:Away:21|metrica:Away:24|metrica:Away:17|metrica:Away:22,metrica:Home:7|metrica:Home:10|metrica:Home:8|metrica:Home:6|metrica:Home:3|metrica:Home:4|metrica:Home:9|metrica:Home:2|metrica:Home:5|metrica:Home:1,-4.236854798307483,-2.1961150957723445,-1.409874489803039,7.001064993931889,1.374869448277746,-1.1130776346828277,0.5325908547096341,4.357754124513543,0.4253749292625475,0.06655833243547882,-2.0476834514385964,2.189171346868887,2
OR1|P1|T774.04|metrica:Away:20,P1|T774.04,1,774.04,774.04,12,metrica:Away:20,metrica:Away,metrica:Home,metrica:Away:21|metrica:Away:16|metrica:Away:23|metrica:Away:19|metrica:Away:17|metrica:Away:24|metrica:Away:15|metrica:Away:18|metrica:Away:22,metrica:Home:9|metrica:Home:10|metrica:Home:6|metrica:Home:7|metrica:Home:5|metrica:Home:3|metrica:Home:2|metrica:Home:1|metrica:Home:8|metrica:Home:4,-2.268551340219716,-3.0810057624715483,-2.4596683928799994,4.780142649188914,1.3404206392459046,-6.039571937256077,-0.2951390968821306,2.7199241330887953,-0.7477613664221874,0.30617311561642424,0.5433698586277155,2.8119211988474313,3
OR1|P1|T774.04|metrica:Away:21,P1|T774.04,1,774.04,774.04,12,metrica:Away:21,metrica:Away,metrica:Home,metrica:Away:24|metrica:Away:23|metrica:Away:20|metrica:Away:19|metrica:Away:16|metrica:Away:17|metrica:Away:22|metrica:Away:15|metrica:Away:18,metrica:Home:6|metrica:Home:2|metrica:Home:3|metrica:Home:5|metrica:Home:1|metrica:Home:9|metrica:Home:10|metrica:Home:7|metrica:Home:4|metrica:Home:8,-4.871496159582868,-5.683950581834701,-3.85684198307523,2.6412279435476846,-1.901978834011766,-7.895823492473437,0.4053544433609204,2.6376723998158966,0.5475433682757083,-0.21281043656948828,-2.0595749607354366,2.8119211988474313,3
OR1|P1|T774.04|metrica:Away:22,P1|T774.04,1,774.04,774.04,12,metrica:Away:22,metrica:Away,metrica:Home,metrica:Away:17|metrica:Away:21|metrica:Away:24|metrica:Away:20|metrica:Away:23|metrica:Away:16|metrica:Away:19|metrica:Away:15|metrica:Away:18,metrica:Home:5|metrica:Home:1|metrica:Home:9|metrica:Home:6|metrica:Home:2|metrica:Home:3|metrica:Home:10|metrica:Home:7|metrica:Home:4|metrica:Home:8,-0.11655287134457581,-2.837550683533042,-1.7681662488265706,2.738046446050042,2.64383095737265,-2.6621384677813387,-1.2480265453289228,4.626254963299135,-0.3778503215996101,1.4208193816560826,1.4967126514122429,1.6132655227568187,3
OR1|P1|T774.04|metrica:Away:23,P1|T774.04,1,774.04,774.04,12,metrica:Away:23,metrica:Away,metrica:Home,metrica:Away:24|metrica:Away:21|metrica:Away:19|metrica:Away:20|metrica:Away:18|metrica:Away:16|metrica:Away:15|metrica:Away:17|metrica:Away:22,metrica:Home:3|metrica:Home:6|metrica:Home:7|metrica:Home:4|metrica:Home:2|metrica:Home:8|metrica:Home:10|metrica:Home:9|metrica:Home:1|metrica:Home:5,-2.3751566389811383,-2.5073529515796436,-1.7376968483924264,3.6902818988658455,0.1510215290389998,-11.387685374778199,0.25823588555551913,8.234345908878142,0.9727571617478539,0.43348404078974045,-0.1740937828154112,2.201062856165727,2
OR1|P1|T774.04|metrica:Away:24,P1|T774.04,1,774.04,774.04,12,metrica:Away:24,metrica:Away,metrica:Home,metrica:Away:21|metrica:Away:23|metrica:Away:20|metrica:Away:19|metrica:Away:16|metrica:Away:18|metrica:Away:17|metrica:Away:22|metrica:Away:15,metrica:Home:2|metrica:Home:3|metrica:Home:6|metrica:Home:1|metrica:Home:5|metrica:Home:4|metrica:Home:7|metrica:Home:9|metrica:Home:10|metrica:Home:8,-4.154470784615915,-4.966925206867748,-2.8849721931197156,1.6526815672321882,-0.8821863354709079,-8.925693543878669,0.19712854785241296,1.9048779117437538,0.6458785871995825,0.18089683555879166,-1.9534079284501882,2.201062856165727,3
OR1|P1|T782.04|metrica:Home:1,P1|T782.04,1,782.04,782.04,13,metrica:Home:1,metrica:Home,metrica:Away,metrica:Home:3|metrica:Home:2|metrica:Home:6|metrica:Home:7|metrica:Home:4|metrica:Home:5|metrica:Home:8|metrica:Home:9|metrica:Home:10,metrica:Away:21|metrica:Away:23|metrica:Away:24|metrica:Away:19|metrica:Away:22|metrica:Away:18|metrica:Away:20|metrica:Away:17|metrica:Away:16|metrica:Away:15,3.244928592818862,3.02311154790718,0.1639566357701326,4.562453232698699,-1.5386929627774357,-0.19726373778617612,1.0503181265098163,5.567051406966916,-0.5023209258197454,-0.27436636337176257,1.7900544801661542,-1.4548741126527076,2
OR1|P1|T782.04|metrica:Home:10,P1|T782.04,1,782.04,782.04,13,metrica:Home:10,metrica:Home,metrica:Away,metrica:Home:9|metrica:Home:8|metrica:Home:7|metrica:Home:6|metrica:Home:5|metrica:Home:4|metrica:Home:3|metrica:Home:1|metrica:Home:2,metrica:Away:16|metrica:Away:20|metrica:Away:15|metrica:Away:17|metrica:Away:19|metrica:Away:18|metrica:Away:23|metrica:Away:22|metrica:Away:21|metrica:Away:24,-3.6581741832169943,-4.130092387933313,-0.19396240055285455,4.675865033990878,1.805981607858882,0.9891608157554228,-1.6075685159760655,1.9848929947368796,0.011745756598622314,1.1727165863051727,-1.2437811391953328,2.4143930440216614,2
OR1|P1|T782.04|metrica:Home:2,P1|T782.04,1,782.04,782.04,13,metrica:Home:2,metrica:Home,metrica:Away,metrica:Home:3|metrica:Home:4|metrica:Home:1|metrica:Home:7|metrica:Home:6|metrica:Home:8|metrica:Home:5|metrica:Home:9|metrica:Home:10,metrica:Away:24|metrica:Away:21|metrica:Away:23|metrica:Away:18|metrica:Away:19|metrica:Away:22|metrica:Away:20|metrica:Away:17|metrica:Away:16|metrica:Away:15,5.683608842762741,6.00674504556863,1.1324548685616047,5.720599293477588,-1.5386929627774357,-1.4718167942075824,2.2017810225173036,2.746165098593767,-0.5023209258197445,-0.27436636337176346,3.253780667903134,-2.429828174859607,3
OR1|P1|T782.04|metrica:Home:3,P1|T782.04,1,782.04,782.04,13,metrica:Home:3,metrica:Home,metrica:Away,metrica:Home:2|metrica:Home:1|metrica:Home:4|metrica:Home:7|metrica:Home:6|metrica:Home:8|metrica:Home:5|metrica:Home:9|metrica:Home:10,metrica:Away:21|metrica:Away:24|metrica:Away:23|metrica:Away:19|metrica:Away:18|metrica:Away:22|metrica:Away:20|metrica:Away:17|metrica:Away:16|metrica:Away:15,5.133587071870817,5.4567232746767065,0.7146827283399123,4.452022313381417,-1.5386929627774357,-1.4403663814627907,2.624640015882695,6.032784845516694,-0.5023209258197445,-0.27436636337176346,2.7037588970112103,-2.429828174859607,3
