team,player,period,block_id,frames,start_s,end_s
Home,3,1,Home_3_1_32,2081,1936.36,2019.56
Home,3,1,Home_3_1_33,581,2019.92,2043.12
Home,3,1,Home_3_1_34,136,2043.48,2048.88
Home,3,1,Home_3_1_35,1800,2058.64,2130.6
Home,3,1,Home_3_1_36,499,2130.96,2150.88
Home,3,1,Home_3_1_37,2129,2171.72,2256.84
Home,3,1,Home_3_1_38,377,2257.2,2272.24
Home,3,1,Home_3_1_39,2564,2300.56,2403.08
Home,3,1,Home_3_1_40,1029,2507.44,2548.56
Home,3,1,Home_3_1_41,2519,2548.92,2649.64
Home,3,1,Home_3_1_42,191,2668.28,2675.88
Home,3,1,Home_3_1_43,2989,2676.24,2795.76
Home,3,1,Home_3_1_44,1363,2796.12,2850.6
Home,3,2,Home_3_2_45,859,2850.92,2885.24
Home,3,2,Home_3_2_46,1266,2885.6,2936.2
Home,3,2,Home_3_2_47,216,2947.0,2955.6
Home,3,2,Home_3_2_48,2163,2965.4,3051.88
Home,3,2,Home_3_2_49,1575,3080.64,3143.6
Home,3,2,Home_3_2_50,703,3143.96,3172.04
Home,3,2,Home_3_2_51,1890,3187.28,3262.84
Home,3,2,Home_3_2_52,478,3295.96,3315.04
Home,3,2,Home_3_2_53,1511,3315.4,3375.8
Home,3,2,Home_3_2_54,513,3376.16,3396.64
Home,3,2,Home_3_2_55,952,3435.48,3473.52
Home,3,2,Home_3_2_56,51,3496.64,3498.64
Home,3,2,Home_3_2_57,470,3551.88,3570.64
Home,3,2,Home_3_2_58,2427,3571.0,3668.04
Home,3,2,Home_3_2_59,359,3668.4,3682.72
Home,3,2,Home_3_2_60,2531,3742.88,3844.08
Home,3,2,Home_3_2_61,867,3854.56,3889.2
Home,3,2,Home_3_2_62,1056,3889.56,3931.76
Home,3,2,Home_3_2_63,2346,3932.12,4025.92
Home,3,2,Home_3_2_64,1860,4026.36,4100.72
Home,3,2,Home_3_2_65,1017,4101.16,4141.8
Home,3,2,Home_3_2_66,3703,4142.24,4290.32
Home,3,2,Home_3_2_67,6015,4290.76,4531.32
Home,3,2,Home_3_2_68,815,4531.76,4564.32
Home,3,2,Home_3_2_69,5598,4583.88,4807.76
Home,3,2,Home_3_2_70,3485,4931.52,5070.88
Home,3,2,Home_3_2_71,2441,5071.32,5168.92
Home,3,2,Home_3_2_72,4000,5169.36,5329.32
Home,3,2,Home_3_2_73,1837,5329.76,5403.2
Home,3,2,Home_3_2_74,3444,5403.64,5541.36
Home,3,2,Home_3_2_75,1019,5541.8,5582.52
Home,3,2,Home_3_2_76,479,5582.96,5602.08
Home,3,2,Home_3_2_77,394,5645.72,5661.44
Home,3,2,Home_3_2_78,1096,5700.88,5744.68
Home,3,2,Home_3_2_79,1376,5745.12,5800.12
Home,4,1,Home_4_1_0,1365,0.24,54.8
Home,4,1,Home_4_1_1,1524,85.92,146.84
Home,4,1,Home_4_1_2,410,147.2,163.56
Home,4,1,Home_4_1_3,357,175.64,189.88
Home,4,1,Home_4_1_4,3688,202.48,349.96
Home,4,1,Home_4_1_5,222,354.92,363.76
Home,4,1,Home_4_1_6,411,368.8,385.2
Home,4,1,Home_4_1_7,1191,415.68,463.28
Home,4,1,Home_4_1_8,439,463.64,481.16
Home,4,1,Home_4_1_9,1242,505.64,555.28
Home,4,1,Home_4_1_10,1335,583.16,636.52
