match_id,variable,distance_rank,n,median,q1,q3
J03WMX,defender_lateral_offset_from_centroid_m,3,12353,-0.369000244141,-7.14457141204,6.56642860344
J03WMX,defender_lateral_offset_from_centroid_m,4,12353,-0.71628604957,-7.09757184982,5.93371425016
J03WMX,defender_lateral_offset_from_centroid_m,5,12353,-1.00442849568,-7.00500001865,5.98642859289
J03WMX,defender_lateral_offset_from_centroid_m,6,12353,-0.735142866203,-7.34599999573,6.4197142601
J03WMX,defender_lateral_offset_from_centroid_m,7,12353,-0.322285776905,-8.21385693657,8.36128571033
J03WMX,defender_lateral_offset_from_centroid_m,8,12353,0.0615714141301,-8.6517142662,9.39357108048
J03WMX,defender_lateral_offset_from_centroid_m,9,12353,0.146999946662,-11.7127144984,12.6895714419
J03WMX,defender_lateral_offset_from_centroid_m,10,12353,1.36814280578,-16.672857081,17.6935714492
J03WMX,defender_own_goal_depth_m,1,12353,51.2971428122,36.2271428789,68.252857072
J03WMX,defender_own_goal_depth_m,2,12353,50.1814285687,34.5928568159,67.3571429934
J03WMX,defender_own_goal_depth_m,3,12353,49.1257143021,33.1614284515,66.2371428353
J03WMX,defender_own_goal_depth_m,4,12353,47.735714095,32.0485711779,64.3471427645
J03WMX,defender_own_goal_depth_m,5,12353,47.2385712351,31.0299998692,64.1014285769
J03WMX,defender_own_goal_depth_m,6,12353,46.3671428135,30.7642857688,62.855714253
J03WMX,defender_own_goal_depth_m,7,12353,45.4142857279,29.7628568922,62.311428615
J03WMX,defender_own_goal_depth_m,8,12353,44.4642857143,29.1085714613,61.4442856652
J03WMX,defender_own_goal_depth_m,9,12353,44.7085713659,30.1042859214,60.0828572001
J03WMX,defender_own_goal_depth_m,10,12353,45.7271428108,30.9742856707,59.7857143538
J03WMX,local_two_neighbor_mean_distance_m,1,12353,11.2765823945,8.42530990614,14.4600221165
J03WMX,local_two_neighbor_mean_distance_m,2,12353,10.2128999598,7.52129192591,12.9523913259
J03WMX,local_two_neighbor_mean_distance_m,3,12353,9.94141219349,7.26127826836,12.7134428151
J03WMX,local_two_neighbor_mean_distance_m,4,12353,9.92987667043,7.1907575313,12.6479896596
J03WMX,local_two_neighbor_mean_distance_m,5,12353,10.0333913456,7.33283872554,12.7356568891
J03WMX,local_two_neighbor_mean_distance_m,6,12353,10.1918061231,7.44830957726,12.8677968839
J03WMX,local_two_neighbor_mean_distance_m,7,12353,10.594326543,7.72963470884,13.4372019597
J03WMX,local_two_neighbor_mean_distance_m,8,12353,11.1255837302,8.29165758981,14.0935041957
J03WMX,local_two_neighbor_mean_distance_m,9,12353,12.0569934962,9.0556282288,15.1427145659
J03WMX,local_two_neighbor_mean_distance_m,10,12353,14.0593072433,10.7851343876,17.9410357978
J03WMX,prior_absolute_path_m,1,12353,3.24096453365,2.16868333367,5.84856854474
J03WMX,prior_absolute_path_m,2,12353,3.27786345988,2.1483298753,5.97633749667
J03WMX,prior_absolute_path_m,3,12353,3.3754031218,2.18959804392,6.02115779557
J03WMX,prior_absolute_path_m,4,12353,3.38469362429,2.14706891851,6.08422652053
J03WMX,prior_absolute_path_m,5,12353,3.31538100817,2.1504023393,6.00527295192
J03WMX,prior_absolute_path_m,6,12353,3.28094478173,2.08188818747,5.97047124622
J03WMX,prior_absolute_path_m,7,12353,3.26508539323,2.11493679941,5.87727292448
J03WMX,prior_absolute_path_m,8,12353,3.17607256875,2.06380072447,5.73463626046
J03WMX,prior_absolute_path_m,9,12353,3.08635214954,1.99191162231,5.52923856456
J03WMX,prior_absolute_path_m,10,12353,3.0206020315,1.93523288372,5.43829953275
J03WMX,prior_attacker_path_m,1,12353,3.07181004885,2.00103040775,5.39209575065
J03WMX,prior_attacker_path_m,2,12353,3.07181004885,2.00103040775,5.39209575065
J03WMX,prior_attacker_path_m,3,12353,3.07181004885,2.00103040775,5.39209575065
J03WMX,prior_attacker_path_m,4,12353,3.07181004885,2.00103040775,5.39209575065
J03WMX,prior_attacker_path_m,5,12353,3.07181004885,2.00103040775,5.39209575065
J03WMX,prior_attacker_path_m,6,12353,3.07181004885,2.00103040775,5.39209575065
J03WMX,prior_attacker_path_m,7,12353,3.07181004885,2.00103040775,5.39209575065
J03WMX,prior_attacker_path_m,8,12353,3.07181004885,2.00103040775,5.39209575065
J03WMX,prior_attacker_path_m,9,12353,3.07181004885,2.00103040775,5.39209575065
J03WMX,prior_attacker_path_m,10,12353,3.07181004885,2.00103040775,5.39209575065
J03WMX,prior_defensive_centroid_path_m,1,12353,2.70866058068,1.24717178688,4.85430746208
J03WMX,prior_defensive_centroid_path_m,2,12353,2.70866058068,1.24717178688,4.85430746208
J03WMX,prior_defensive_centroid_path_m,3,12353,2.70866058068,1.24717178688,4.85430746208
