match_id,variable,near_median,near_q1,near_q3,middle_median,middle_q1,middle_q3,standardized_difference,matches,median_match_standardized_difference,q1_match_standardized_difference,q3_match_standardized_difference,positive_matches,negative_matches,same_sign_matches
J03WOH,defender_own_goal_depth_m,53.3028571521,38.4271429607,72.1828572409,49.6357142925,35.0642858233,68.4432142462,0.152989340571,9,0.151199601843,0.14722473907,0.158645867403,9,0,9
J03WOH,local_two_neighbor_mean_distance_m,10.3236572285,7.38990992015,13.472819949,10.1557346494,7.3992037011,13.2049402516,0.0232281106184,9,0.0637238532167,0.0461808573277,0.0858829746789,9,0,9
J03WOH,prior_absolute_path_m,3.22415454265,2.15807864535,6.06966109808,3.28882119535,2.19496950575,6.09496379256,-0.0177971527525,9,-0.00152729016791,-0.00725503015215,0.00547821257394,4,5,5
J03WOH,prior_attacker_path_m,3.13852738865,2.0624851318,5.71517301061,3.13852738865,2.0624851318,5.71517301061,0,9,0,0,0,1,1,1
J03WOH,prior_defensive_centroid_path_m,2.75058254205,1.37239912729,5.0406622783,2.75058254205,1.37239912729,5.0406622783,0,9,0,0,0,1,0,1
J03WOH,prior_focal_relative_path_m,2.28460636774,1.41661625558,3.60776309065,2.25919371505,1.41651734663,3.50025917735,0.0239597940898,9,0.042553620324,0.0330195469436,0.046608550189,9,0,9
J03WOH,prior_other_nine_mean_absolute_path_m,3.74824087657,2.33769873963,5.79529089975,3.7694238911,2.33281099766,5.8076169099,0.00252273155087,9,0.00022909975558,-0.000889792176616,0.00105653690075,5,4,5
J03WOH,prior_terminal_speed_mps,1.56532806436,1.01016121477,3.05142895231,1.58154410246,1.03632975834,3.08324417367,-0.0147661036461,9,-0.00500566036727,-0.0136118063754,0.00279310220057,3,6,6
J03WOH,unit_depth_span_m,34.1114286695,28.2728571211,41.2371428353,34.1114286695,28.2728571211,41.2371428353,0,9,0,-3.48262362745e-16,0,0,3,3
J03WOH,unit_width_span_m,37.9299997602,32.7199995858,43.1114286695,37.9299997602,32.7199995858,43.1114286695,0,9,0,0,7.89271440125e-16,3,0,3
J03WOY,attacker_abs_lateral_offset_from_centroid_m,9.41371433394,4.48171417032,15.8261428305,9.41371433394,4.48171417032,15.8261428305,0,9,0,-1.99554850553e-16,0,1,3,3
J03WOY,attacker_defender_start_distance_m,9.93553904342,5.82686915956,14.9101626313,21.6332172745,16.2342324631,28.2673156486,-1.41343213316,9,-1.4805641503,-1.52810032904,-1.41343213316,0,9,9
J03WOY,attacker_goalward_offset_from_centroid_m,-5.72899935586,-14.8542845726,4.23371429443,-5.72899935586,-14.8542845726,4.23371429443,-6.76342828653e-17,9,0,0,7.45652679375e-17,4,2,4
J03WOY,ball_abs_lateral_offset_from_centroid_m,11.0575714026,5.07785704104,17.5162855778,11.0575714026,5.07785704104,17.5162855778,-2.32005205331e-16,9,0,-2.2762364796e-16,2.28438121718e-16,3,3,3
J03WOY,ball_defender_distance_m,24.6961131585,14.584755846,35.4481608858,24.5006613348,15.2299138207,34.641343891,0.0169348744594,9,-0.000855850062246,-0.029216940085,0.0157880180517,3,6,6
