period,frame_id,provider_time_s,kloppy_period_time_s,object_type,team_id,player_id,kloppy_player_id,is_goalkeeper,observed,x_norm,y_norm,x_m,y_m,provider_timestamp_ns,period_label,ball_state,ball_owning_team_id
1,10001,1685194212.64,0.04,player,DFL-CLU-000008,DFL-OBJ-0027B6,DFL-OBJ-0027B6,False,True,0.6916190476190477,0.604264705882353,20.12,7.09,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-000008,DFL-OBJ-0026ZI,DFL-OBJ-0026ZI,False,False,,,,,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-000008,DFL-OBJ-0028BD,DFL-OBJ-0028BD,False,True,0.5035238095238095,0.27102941176470585,0.37,-15.57,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-000008,DFL-OBJ-002GBW,DFL-OBJ-002GBW,False,False,,,,,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-000008,DFL-OBJ-002G89,DFL-OBJ-002G89,False,False,,,,,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-000008,DFL-OBJ-002G4A,DFL-OBJ-002G4A,False,True,0.5979047619047619,0.4501470588235294,10.28,-3.39,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-000008,DFL-OBJ-002GLJ,DFL-OBJ-002GLJ,False,False,,,,,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-000008,DFL-OBJ-J01BGM,DFL-OBJ-J01BGM,False,True,0.5132380952380953,0.6919117647058823,1.39,13.05,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-000008,DFL-OBJ-002G0R,DFL-OBJ-002G0R,False,False,,,,,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-000008,DFL-OBJ-J01D1W,DFL-OBJ-J01D1W,False,True,0.6789523809523809,0.4339705882352941,18.79,-4.49,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-000008,DFL-OBJ-J01DVC,DFL-OBJ-J01DVC,False,False,,,,,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-000008,DFL-OBJ-002GKO,DFL-OBJ-002GKO,False,True,0.608,0.5769117647058825,11.34,5.23,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-000008,DFL-OBJ-J01LJ2,DFL-OBJ-J01LJ2,False,False,,,,,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-00000G,DFL-OBJ-0002DR,DFL-OBJ-0002DR,True,True,0.05514285714285713,0.5026470588235294,-46.71,0.18,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-00000G,DFL-OBJ-0000LT,DFL-OBJ-0000LT,False,False,,,,,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-00000G,DFL-OBJ-0000RP,DFL-OBJ-0000RP,False,False,,,,,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-00000G,DFL-OBJ-0000IA,DFL-OBJ-0000IA,False,True,0.4861904761904762,0.6864705882352942,-1.45,12.68,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-00000G,DFL-OBJ-J00USE,DFL-OBJ-J00USE,False,False,,,,,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-00000G,DFL-OBJ-000191,DFL-OBJ-000191,False,False,,,,,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-00000G,DFL-OBJ-J0117H,DFL-OBJ-J0117H,False,False,,,,,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-00000G,DFL-OBJ-0027G6,DFL-OBJ-0027G6,False,True,0.5080952380952382,0.4917647058823529,0.85,-0.56,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-00000G,DFL-OBJ-0002F5,DFL-OBJ-0002F5,False,True,0.4137142857142857,0.47132352941176464,-9.06,-1.95,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-00000G,DFL-OBJ-0026PM,DFL-OBJ-0026PM,False,True,0.5056190476190476,0.9879411764705883,0.59,33.18,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-00000G,DFL-OBJ-0002AU,DFL-OBJ-0002AU,False,True,0.5007619047619047,0.17838235294117646,0.08,-21.87,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-00000G,DFL-OBJ-J015S4,DFL-OBJ-J015S4,False,False,,,,,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-00000G,DFL-OBJ-0027KL,DFL-OBJ-0027KL,False,True,0.3478095238095238,0.5145588235294118,-15.98,0.99,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-00000G,DFL-OBJ-0027G0,DFL-OBJ-0027G0,False,True,0.3778095238095238,0.22264705882352942,-12.83,-18.86,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-00000G,DFL-OBJ-J017RE,DFL-OBJ-J017RE,False,True,0.3021904761904762,0.6339705882352941,-20.77,9.11,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-00000G,DFL-OBJ-J01APO,DFL-OBJ-J01APO,False,True,0.36876190476190474,0.8785294117647058,-13.78,25.74,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-00000G,DFL-OBJ-J01B8N,DFL-OBJ-J01B8N,False,True,0.506,0.6504411764705883,0.63,10.23,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-00000G,DFL-OBJ-002GIC,DFL-OBJ-002GIC,False,False,,,,,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-00000G,DFL-OBJ-002GCR,DFL-OBJ-002GCR,False,False,,,,,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-00000G,DFL-OBJ-J01N65,DFL-OBJ-J01N65,False,False,,,,,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,ball,,,,False,True,0.4961904761904762,0.4972058823529412,-0.4,-0.19,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-000008,DFL-OBJ-0027AX,DFL-OBJ-0027AX,False,True,0.564,0.5747058823529412,6.72,5.08,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-000008,DFL-OBJ-0000M0,DFL-OBJ-0000M0,False,False,,,,,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-000008,DFL-OBJ-00012X,DFL-OBJ-00012X,False,True,0.6242857142857142,0.2973529411764706,13.05,-13.78,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-000008,DFL-OBJ-000270,DFL-OBJ-000270,False,True,0.4767619047619048,0.39882352941176474,-2.44,-6.88,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-000008,DFL-OBJ-0002HE,DFL-OBJ-0002HE,True,True,0.9504761904761905,0.5038235294117647,47.3,0.26,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-000008,DFL-OBJ-0002BO,DFL-OBJ-0002BO,False,True,0.6636190476190477,0.8075,17.18,20.91,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-000008,DFL-OBJ-0027V2,DFL-OBJ-0027V2,False,False,,,,,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-000008,DFL-OBJ-0027B6,DFL-OBJ-0027B6,False,True,0.6913333333333334,0.6044117647058824,20.09,7.1,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
