heldout_match,model,alpha,inner_macro_mae_by_alpha,retained_features,solver
J03WPY,E1_minus_movement_direction,100.0,"{""0.01"": 0.9179125785556135, ""0.1"": 0.9179125459072512, ""1.0"": 0.9179122194350732, ""10.0"": 0.9179089558573629, ""100.0"": 0.917876870570581}","[""attacker_path_exposure_m"", ""attacker_path_prior_m"", ""attacker_minus_unit_goalward_m"", ""attacker_minus_unit_outward_m"", ""defending_unit_depth_m"", ""defending_unit_width_m"", ""attacker_ball_distance_start_m"", ""ball_minus_unit_goalward_m"", ""ball_minus_unit_outward_m"", ""attacker_ball_distance_change_m""]",solve
J03WPY,E1_minus_start_position,100.0,"{""0.01"": 0.9254105787635921, ""0.1"": 0.9254105635890286, ""1.0"": 0.9254104118485554, ""10.0"": 0.9254088949598654, ""100.0"": 0.9253938997023239}","[""attacker_path_exposure_m"", ""attacker_path_prior_m"", ""attacker_goalward_displacement_m"", ""attacker_outward_displacement_m"", ""attacker_ball_distance_start_m"", ""ball_minus_unit_goalward_m"", ""ball_minus_unit_outward_m"", ""attacker_ball_distance_change_m""]",solve
J03WPY,E1_minus_ball_geometry,100.0,"{""0.01"": 0.9259155682455003, ""0.1"": 0.9259155517501415, ""1.0"": 0.9259153868035571, ""10.0"": 0.9259137380374595, ""100.0"": 0.9258975294289904}","[""attacker_path_exposure_m"", ""attacker_path_prior_m"", ""attacker_goalward_displacement_m"", ""attacker_outward_displacement_m"", ""attacker_minus_unit_goalward_m"", ""attacker_minus_unit_outward_m"", ""defending_unit_depth_m"", ""defending_unit_width_m""]",solve
J03WQQ,E0,100.0,"{""0.01"": 0.9258597568536211, ""0.1"": 0.9258597520145941, ""1.0"": 0.925859703626592, ""10.0"": 0.9258592199730997, ""100.0"": 0.9258544188532839}","[""attacker_path_exposure_m"", ""attacker_path_prior_m""]",solve
J03WQQ,E1,100.0,"{""0.01"": 0.906525776342929, ""0.1"": 0.9065257491432761, ""1.0"": 0.9065254771568888, ""10.0"": 0.9065227588776187, ""100.0"": 0.9064960800492942}","[""attacker_path_exposure_m"", ""attacker_path_prior_m"", ""attacker_goalward_displacement_m"", ""attacker_outward_displacement_m"", ""attacker_minus_unit_goalward_m"", ""attacker_minus_unit_outward_m"", ""defending_unit_depth_m"", ""defending_unit_width_m"", ""attacker_ball_distance_start_m"", ""ball_minus_unit_goalward_m"", ""ball_minus_unit_outward_m"", ""attacker_ball_distance_change_m""]",solve
J03WQQ,E1_minus_movement_direction,100.0,"{""0.01"": 0.9096859181392176, ""0.1"": 0.9096858893783711, ""1.0"": 0.9096856017794989, ""10.0"": 0.9096827267495856, ""100.0"": 0.9096542902693612}","[""attacker_path_exposure_m"", ""attacker_path_prior_m"", ""attacker_minus_unit_goalward_m"", ""attacker_minus_unit_outward_m"", ""defending_unit_depth_m"", ""defending_unit_width_m"", ""attacker_ball_distance_start_m"", ""ball_minus_unit_goalward_m"", ""ball_minus_unit_outward_m"", ""attacker_ball_distance_change_m""]",solve
J03WQQ,E1_minus_start_position,100.0,"{""0.01"": 0.9160954445133962, ""0.1"": 0.9160954301826795, ""1.0"": 0.916095286880357, ""10.0"": 0.91609385829128, ""100.0"": 0.9160798328411497}","[""attacker_path_exposure_m"", ""attacker_path_prior_m"", ""attacker_goalward_displacement_m"", ""attacker_outward_displacement_m"", ""attacker_ball_distance_start_m"", ""ball_minus_unit_goalward_m"", ""ball_minus_unit_outward_m"", ""attacker_ball_distance_change_m""]",solve
J03WQQ,E1_minus_ball_geometry,100.0,"{""0.01"": 0.9158495729509207, ""0.1"": 0.9158495567634062, ""1.0"": 0.9158493948949004, ""10.0"": 0.9158477768737326, ""100.0"": 0.9158317996389029}","[""attacker_path_exposure_m"", ""attacker_path_prior_m"", ""attacker_goalward_displacement_m"", ""attacker_outward_displacement_m"", ""attacker_minus_unit_goalward_m"", ""attacker_minus_unit_outward_m"", ""defending_unit_depth_m"", ""defending_unit_width_m""]",solve
J03WR9,E0,100.0,"{""0.01"": 0.9302563516146187, ""0.1"": 0.9302563466054624, ""1.0"": 0.9302562965161769, ""10.0"": 0.9302557961841195, ""100.0"": 0.9302509097557635}","[""attacker_path_exposure_m"", ""attacker_path_prior_m""]",solve
J03WR9,E1,100.0,"{""0.01"": 0.9107080741703436, ""0.1"": 0.9107080415207292, ""1.0"": 0.9107077150378222, ""10.0"": 0.9107044520630837, ""100.0"": 0.9106726880165553}","[""attacker_path_exposure_m"", ""attacker_path_prior_m"", ""attacker_goalward_displacement_m"", ""attacker_outward_displacement_m"", ""attacker_minus_unit_goalward_m"", ""attacker_minus_unit_outward_m"", ""defending_unit_depth_m"", ""defending_unit_width_m"", ""attacker_ball_distance_start_m"", ""ball_minus_unit_goalward_m"", ""ball_minus_unit_outward_m"", ""attacker_ball_distance_change_m""]",solve
J03WR9,E1_minus_movement_direction,100.0,"{""0.01"": 0.9133659678844372, ""0.1"": 0.9133659354071243, ""1.0"": 0.91336561082641, ""10.0"": 0.9133623673237866, ""100.0"": 0.9133303855726878}","[""attacker_path_exposure_m"", ""attacker_path_prior_m"", ""attacker_minus_unit_goalward_m"", ""attacker_minus_unit_outward_m"", ""defending_unit_depth_m"", ""defending_unit_width_m"", ""attacker_ball_distance_start_m"", ""ball_minus_unit_goalward_m"", ""ball_minus_unit_outward_m"", ""attacker_ball_distance_change_m""]",solve
J03WR9,E1_minus_start_position,100.0,"{""0.01"": 0.9204134833424834, ""0.1"": 0.9204134669362719, ""1.0"": 0.9204133028801259, ""10.0"": 0.92041166306439, ""100.0"": 0.9203955741235251}","[""attacker_path_exposure_m"", ""attacker_path_prior_m"", ""attacker_goalward_displacement_m"", ""attacker_outward_displacement_m"", ""attacker_ball_distance_start_m"", ""ball_minus_unit_goalward_m"", ""ball_minus_unit_outward_m"", ""attacker_ball_distance_change_m""]",solve
J03WR9,E1_minus_ball_geometry,100.0,"{""0.01"": 0.9211043020048222, ""0.1"": 0.9211042839776199, ""1.0"": 0.9211041039401616, ""10.0"": 0.9211023046970429, ""100.0"": 0.9210845370168307}","[""attacker_path_exposure_m"", ""attacker_path_prior_m"", ""attacker_goalward_displacement_m"", ""attacker_outward_displacement_m"", ""attacker_minus_unit_goalward_m"", ""attacker_minus_unit_outward_m"", ""defending_unit_depth_m"", ""defending_unit_width_m""]",solve
